participant_id,beauvis_bar_geo,beauvis_bar_icon,beauvis_bar_color,beauvis_pie_geo,beauvis_pie_icon,beauvis_pie_color
5fb65ad58d6ec70008c4ee34,3.8,6.0,5.4,,,
60ce30df032ca7cfb03900bc,,,,5.2,5.6,2.2
615f04836985bb3ce5815f3c,,,,7.0,7.0,7.0
5fca888982a09a6a47620777,,,,5.2,6.2,2.4
5f6e5f1a89a12b394d694868,,,,4.8,5.6,3.6
5ff34a79341f428a7dc098b8,,,,5.2,5.0,1.0
5e569011c0486f03a51801b5,,,,6.2,4.6,1.0
5d5c62433f15a200195a6c9f,,,,2.4,6.0,1.8
5e7b49fde74e0c14076f273b,,,,4.0,4.0,4.0
613800d38b430814dc455213,,,,5.2,6.6,2.6
5ea995fdfb69010bff748ac0,,,,6.0,1.2,2.0
5fc26d71c9e79a327ac24f7f,,,,6.4,1.0,4.6
60f8b73307416902fdc94fd7,4.0,6.0,2.0,,,
5fc44d83862e3e79b02e0438,6.0,7.0,5.6,,,
607333f06524baf7ddfaae2e,6.0,5.6,4.0,,,
5fbb7aae04da87a3fe5f129c,3.2,4.4,3.8,,,
60d0d3e7e4d728de23952f2a,,,,4.2,6.6,3.8
5f89e17a57925103ac8601df,,,,4.4,5.8,1.0
5e7356af75224a000cca14a1,,,,3.8,5.2,1.4
60fbc53a81120344612e0d08,,,,4.6,5.0,4.6
6150800cd708e322d6c918f6,4.6,3.4,4.6,,,
60febbf6684ed23d1eec2db6,4.0,1.8,6.0,,,
5d6e3252dfe6d10001dbe508,2.8,4.6,3.6,,,
60394fe628b8f044fa78fd2f,,,,3.2,4.0,3.0
5fada668f8a0961779aa778b,,,,3.8,4.0,2.6
60ba46740472bd36868efcb0,,,,5.0,4.0,4.0
617287bc1a42a5bc56381cec,5.2,6.0,3.6,,,
5fdfd04b9bf07d83b2e5f780,5.0,3.0,6.0,,,
614aa3c261217ac8ee05b90c,5.8,5.8,5.8,,,
5eb2a99596070102a65d32c7,,,,5.8,6.0,3.8
613a63cc5655865c920adb38,1.0,5.0,1.8,,,
5f69e356d68b93020e622bf2,4.6,6.2,5.0,,,
6171b1bc917dfe828a3130dd,,,,5.0,1.8,1.2
60ddfb3db6a71ad9ba75e387,3.4,2.4,6.6,,,
5ee3c6f7232e9d094c4ae6fa,,,,1.6,2.0,3.0
6030119a4403b3e1f92a756a,,,,6.0,5.0,2.0
60230fc6c505eb163dddda74,,,,5.0,3.0,5.0
5bd7af7ce6fce60001d36051,2.0,4.6,3.6,,,
5f6918108e4df1104abab8d0,7.0,7.0,7.0,,,
63cffdbf780f8b199748645b,1.6,1.0,7.0,,,
