participant_id,readable_bar_geo,readable_bar_icon,readable_bar_color,readable_pie_geo,readable_pie_icon,readable_pie_color
5fb65ad58d6ec70008c4ee34,5.0,6.0,7.0,,,
60ce30df032ca7cfb03900bc,,,,7.0,6.0,1.0
615f04836985bb3ce5815f3c,,,,6.0,4.0,6.0
5fca888982a09a6a47620777,,,,6.0,6.0,4.0
5f6e5f1a89a12b394d694868,,,,6.0,3.0,6.0
5ff34a79341f428a7dc098b8,,,,6.0,2.0,1.0
5e569011c0486f03a51801b5,,,,7.0,2.0,1.0
5d5c62433f15a200195a6c9f,,,,1.0,7.0,1.0
5e7b49fde74e0c14076f273b,,,,3.0,5.0,1.0
613800d38b430814dc455213,,,,7.0,5.0,4.0
5ea995fdfb69010bff748ac0,,,,6.0,3.0,2.0
5fc26d71c9e79a327ac24f7f,,,,7.0,1.0,4.0
60f8b73307416902fdc94fd7,5.0,7.0,4.0,,,
5fc44d83862e3e79b02e0438,6.0,1.0,7.0,,,
607333f06524baf7ddfaae2e,7.0,7.0,4.0,,,
5fbb7aae04da87a3fe5f129c,6.0,2.0,7.0,,,
60d0d3e7e4d728de23952f2a,,,,3.0,5.0,2.0
5f89e17a57925103ac8601df,,,,4.0,5.0,3.0
5e7356af75224a000cca14a1,,,,3.0,6.0,1.0
60fbc53a81120344612e0d08,,,,5.0,5.0,6.0
6150800cd708e322d6c918f6,2.0,1.0,7.0,,,
60febbf6684ed23d1eec2db6,3.0,2.0,6.0,,,
5d6e3252dfe6d10001dbe508,2.0,5.0,6.0,,,
60394fe628b8f044fa78fd2f,,,,4.0,5.0,6.0
5fada668f8a0961779aa778b,,,,5.0,2.0,6.0
60ba46740472bd36868efcb0,,,,6.0,5.0,6.0
617287bc1a42a5bc56381cec,1.0,5.0,6.0,,,
5fdfd04b9bf07d83b2e5f780,5.0,2.0,6.0,,,
614aa3c261217ac8ee05b90c,7.0,7.0,7.0,,,
5eb2a99596070102a65d32c7,,,,5.0,7.0,2.0
613a63cc5655865c920adb38,1.0,3.0,5.0,,,
5f69e356d68b93020e622bf2,5.0,7.0,3.0,,,
6171b1bc917dfe828a3130dd,,,,3.0,3.0,2.0
60ddfb3db6a71ad9ba75e387,3.0,2.0,7.0,,,
5ee3c6f7232e9d094c4ae6fa,,,,2.0,2.0,5.0
6030119a4403b3e1f92a756a,,,,6.0,3.0,4.0
60230fc6c505eb163dddda74,,,,5.0,2.0,6.0
5bd7af7ce6fce60001d36051,4.0,4.0,7.0,,,
5f6918108e4df1104abab8d0,7.0,7.0,7.0,,,
63cffdbf780f8b199748645b,1.0,1.0,7.0,,,
600f0f9c3bfcdc077c924e51,,,,1.0,6.0,6.0
5b8c8e7d0c740e00019d55c3,6.0,7.0,7.0,,,
61574e3de0229e6bb92368c2,,,,6.0,7.0,7.0
60f364780342181eb49b70d7,4.0,4.0,6.0,,,
616b06e97addc4a9a638909e,5.0,5.0,6.0,,,
5d66f23706e589000157e7ec,4.0,5.0,4.0,,,
61524134790f9a1cd758817c,,,,3.0,1.0,6.0
5f6214a59413141f7cb2508c,,,,7.0,2.0,7.0
5ee78cdd0103130133fdb204,4.0,5.0,4.0,,,
601bde43332e2d5ff932d64a,,,,2.0,5.0,3.0
5f3aee04e30eac7cb73b416e,7.0,1.0,7.0,,,
608ac4aaa0da08ba566333bd,6.0,1.0,6.0,,,
60609771c29892dbccbe3c2b,,,,1.0,5.0,7.0
61015f63f9a351d3171a0f98,6.0,3.0,5.0,,,
631a05d1ec4f85ab21313202,3.0,3.0,6.0,,,
5cb749fda6fe0700189768a5,,,,7.0,6.0,7.0
60bbc368a316ee5421a1153b,,,,7.0,6.0,6.0
616c3cbc9f45e7120b08bad6,5.0,1.0,7.0,,,
612bdeaaaf02651ea655d21a,,,,5.0,3.0,7.0
64157c7105837695ad52b091,,,,5.0,7.0,1.0
5e7a5584718c83035a42519c,5.0,7.0,7.0,,,
60a2c7d2f13744a90856149c,,,,3.0,5.0,4.0
5f73744c5f51ad0a1a0f176e,,,,7.0,6.0,6.0
60b7959cedd10f9211decf60,,,,1.0,5.0,6.0
63fc9ac5b3caf86d29e7b736,7.0,7.0,7.0,,,
61260e2741183100f61d0382,7.0,6.0,7.0,,,
63ef938aea545fb9bd19a591,,,,7.0,7.0,1.0
5ba988cc4a16920001d48564,,,,4.0,5.0,5.0
6170a0c73272afad9eff9da9,6.0,6.0,6.0,,,
5edeea354d54cb1a825aa8f9,,,,5.0,6.0,6.0
610af845ba0a579e3de8dc9e,,,,5.0,2.0,6.0
605da94ba47f45380a1c7d57,,,,5.0,3.0,2.0
6169e8a8311d269013eb73c7,,,,5.0,7.0,6.0
6078aca8d8e492e23e2f4755,1.0,2.0,7.0,,,
5a520774eedc3200014206b4,6.0,5.0,7.0,,,
60e2ebb6ad1d5ee0e515a7c5,,,,5.0,7.0,5.0
