participant_id,trial_num,browser_name,browser_version,os,os_version,window_width,window_height,gender,age,experience,timestamp_tutorial,formatted_data_tutorial,first_design_time,second_design_time,condition_texture,strategy_goal,strategy_geo,strategy_icon,compare_texture,different_chart_geo,different_chart_icon,timestamp_end,formatted_data_end
4.63472E+16,0,Chrome,110.0.0.0,macOS,10.15.7,1462,764,man,26,2,1677258974730,20230224 18:16:14,678758,657842,0,"""In general, I tried to make all columns distinguishable given they are placed so close to each other, and then following either the same style or a rhythm of styles.""",""" For the geometric one, I used non-orthodox grid for all and from left to right, I put an increment on each grid strike so that it forms a gradient pattern. Meanwhile all grids are tiled as if pointing at the next column, up or down, resulting a sense of waves. I didn't a second style other than the grid because that would disturb the melody of the graph reading. ""","""For the icon one, I found the given example makes it hard to distinguish columns, so my general strategy is bring a rhythm of color density to the graph by putting a black background next to a white one, repeat and so on so forth. Then I chose black icons with a little more details for all white background bars, and white stoked icons for all black bars to balance the visual. ""","""The tool is absolutely amazing and I had fun with specifically the first one. It allows me to create unexpected visual effect rather than the boring preset patterns, thus bringing more control and expressivity for my design. 
 In my humble opinion, geometric patterns are generally easier to handle with than the iconic one because I can easily find a consistent pattern of graphics across the bars, and icons have each of their own geometrical characteristics and harder to balance. ""","""Kind of OK for the pie, but definitely a disaster for the map. 
 Should the pattern work for the pie, the strokes shall be carefully modified and make the adjacent ones significantly different. 
 The map is simply messed up but it'a cool piece of ART though!""","""It works for pie! Though the number of parts is odd which make the tomato and carrot next to each other and following the same style. But it could be easily fixed by maybe increasing the tomato's size. 
 Again it doesn't work for maps. It gives an illusion of highlighting certain regions which is not true. """,1677262008924,20230224 19:06:48
58315540627590280,0,Chrome,110.0.0.0,macOS,10.15.7,1721,1296,woman,56,12,1677451311650,20230226 15:41:51,90087,101551,1,"""I would never use the first design but tried to abstract it by making the icons overlap - you can still 'read' the images but it starts taking on a pattern.""","""I looked for the best Bertin set - this one was most pleeasing.""","""applied consistent angles, line thickness, and repetition for all to create a grouping that aesthetically belonged.""","""Iconic textures are too 'whimsical' - not my cup of tea. I also stay away from bar charts whenever possible. Geometric patterns work better for distinguishing columns.""","""I didn't think they worked before, but I love the map as a line drawing (not as a visualization). The pie chart needs colour to have any kind of effect, but I would stay away from icons.""","""Works very well. The patterns are easy to register and 'read'. There is just enough pattern to keep it pleasing.""",1677452100564,20230226 15:55:00
22931812446054556,0,Chrome,109.0.0.0,macOS,10.15.7,1418,718,woman,31,8,1677575595661,20230228 09:13:15,209457,98940,0,"""Clarity for comparison and distinction from other patterns""","""Ensure each is pattern would look distinct in absence of labels and in a stacked bar chart""","""Make sure the icons are small enough to be visible ""","""These patterns are not something I would use in a barchart, more relevant in either a pictogram or maps where the pattern/texture is denoting specific data. For black and white purposes the textures are not necessary if there are already graph labels, unless these graphs will be repeated and it is helpful for the user to get accustomed to texture-label association. ""","""Pie chart is more successful than the map, but the map as well does seem to work""","""Again, pie chart is more successful, but the map is entirely useless""",1677576285290,20230228 09:24:45
9436293831206566,0,Chrome,110.0.0.0,Windows,NT 10.0,1694,867,man,73,44,1677693793929,20230301 13:03:13,291717,184388,0,"""Visual distinctness and consistency in design""","""For the geometric textures, I was aiming for textures that were not too bold and had roughly equal weight while being clearly distinct""","""I changed the icon size to reflect what they represented. Also I centered the icons made it so that a complete icon appeared near the bottom.""","""For this example, iconic textures make sense. Not so for most applications. Also, why not use color? It is generally available. The combination of texture and color gives a much wider range of possibilities. I would probably use colors instead of geometric textures.  
 

 Minor point: the celery icon doesn't look like celery.""","""Yes except for the corn and carrot textures. The look more similar in the pie chart because of the lack of a vertical/horizontal frame. They still work on the map
 On the maps the two dot textures are easily confused.""","""OK for the pie chart.
 Icons are too large for the map regions.""",1677695406018,20230301 13:30:06
34550936131404920,0,Chrome,105.0.0.0,Windows,NT 10.0,1536,754,woman,25,4,1677729295524,20230302 11:54:55,234787,244397,1,"""Be able to differentiate and articulate the message.""","""Textures are well distinguished and print-friendly, and not overly dense with trypophobia in mind""","""All ICONS should be rotated at the same angle and clearly and completely visible in the image.""","""Visual mapping of texture is a brand new entry point, which has the feeling of returning to tradition. In the experiment, I gained some methods for editing texture mapping, such as adjusting angle, size and so on.""","""same with the icon texture. On the map, it's hard to read!""","""Maybe work on pie chart, just like a pizza. But it seems to not work on Map, too massy!""",1677730544253,20230302 12:15:44
54781745853838840,0,Chrome,109.0.0.0,macOS,10.15.7,1792,1016,woman,33,5,1678106396804,20230306 13:39:56,1142121,155020,1,"""Make sure it's not too overwhelming for the eyes. In an actual design project, I don't think I would only use textures. I'd probably add some texture on top of usual hue-filled bars.""","""Not really :)""","""Not really :)""","""Not to use them for all the bars :)""","""The map is really hard to look at, the pie is kind of okay-ish :)""","""This is better, at leas to my eye!""",1678107941955,20230306 14:05:41
31382281881694496,0,Chrome,110.0.0.0,macOS,10.15.7,1120,1786,man,36,14,1678322336128,20230308 16:38:56,72562,80556,0,"""I attempted to systematically vary the visual encoding channels across the categories while also balancing the need for eliciting figurative associations with the represented categories.""","""For adjacent categories, I want to vary more at least two of the minor visual encoding channels (i.e., rotation, foreground / background color, stroke width) before transitioning to another texture, which seemed like a major more salient shift. I avoided vertical line textures, as I felt this would conflict / compete with the vertical bar chart as a whole. I also wanted to elicit visual associations with the geometric texture where possible: olives are small and circular, tomatoes are large and circular; black olives are dark; ripe tomatoes are a deep red; carrots, celery, and stalks of corn are elongated, so line textures seemed appropriate, though the line thickness and foreground / background choice seemed less deliberate or coherent (some carrots are larger than some celery stalks, and vice versa, while individual corn kernels are quite small, hence the finer texture for corn); eggplants are neither round nor long, but they are dark in color, so the rotated grid pattern with a dark background seemed appropriate; lastly, mushrooms are small and white, but are not circular or elongated, so once again a grid pattern with a white background seemed appropriate, though one that is finer than the eggplant grid. ""","""I tried to alternate the orientation of the iconic texture (135, 45, 90) as well as the background / foreground color. I tried to keep a consistent scale that respected the typical relative sizes of these categories (olive < mushroom < (carrot ~ celery ~ corn stalk) < tomato < eggplant), assuming an approximate or typical circumference (and not the length) of a carrot, a head of celery, and a ear of corn. The foreground / background alternation mostly worked our well since carrots, corn stalks, and mushrooms are typically light in color, while eggplants and olives are dark; celery is light while tomatoes are dark, but the the alternation of foreground / background didn't work out for these. ""","""""Get it right in black and white"" is a great design exercise, especially since color is culturally overloaded and can be reserved for attention-drawing annotations. Textures are a great encoding channel for categorical data but it can be a pain to license existing icons or design your own. If iconic textures could be generated from category names (or category names + descriptions), that would be useful, assuming the licensing and attribution of generated icons was clear to designers. Otherwise, it would similarly be useful to generate abstract textures based on category names (or category names and descriptions) that evoke visual aspects of the categories they represent.""","""In the pie, the geometric textures seem fine, as the area of the wedges are large. This is not the case with the map, as some regions are as small as some of the textures themselves (e.g., the tomato).""","""As with the geometric texture, the pie design works because the area of the wedges are sufficiently large. The map doesn't work as well because some of the icons are too large for the region.""",1678325276232,20230308 17:27:56
52141995445163140,0,Chrome,110.0.0.0,macOS,10.15.7,1395,763,man,60,10,1677530706413,20230227 15:45:06,244080,4420,1,"""differentiation""","""Avoid moiré, avoid small features.""","""at least two full icons per slice""","""What philistine puts corn on a pizza?""","""No. The density is wrong for the map.""","""No, and assigning a different pattern to a categorical variable is wrong and unncessary. For the map, use small multiples.
 """,1677532411825,20230227 16:13:31
12582568450783694,0,Chrome,110.0.0.0,macOS,10.15.7,1470,860,woman,51,23,1677560983796,20230227 21:09:43,1003180,4768,1,"""I thought about trying not to have one pattern dominate. Ease of distinguishing the different sections. Though I have to admit the eggplant in the second one is a bit obnoxious.""","""I thought about conceptual matches between the food and the textures. Tried to even out the ink density (but again...the eggplant...ugh). ""","""Uniformity in the style of icons. Roughly same density. I did try to vary on background colour but that didn't work at all. Contrast seemed to be good to preserve and unify. In a way, I regret my choices now. It feels a bit too dense and hard to look at. ""","""I had a hard time with the iconic representations. It all seemed too on-the-nose. And I felt I was fighting that a lot. The textures seemed a lot easier to control perceptually.""","""Bar chart yes. Map definitely not.""","""Bar chart yes (but not YES!). Map - kind of but not well.""",1677564697464,20230227 22:11:37
12582568450783694,1,Chrome,110.0.0.0,macOS,10.15.7,1470,860,woman,51,23,1677564818286,20230227 22:13:38,8857,47191,0,"""same""","""same""","""same""","""same""","""no lines are too thick. In fact I think they are too thick for the pie chart too. ""","""same""",1677565248032,20230227 22:20:48
12582568450783694,2,Chrome,110.0.0.0,macOS,10.15.7,1470,860,woman,51,23,1677565267970,20230227 22:21:07,11972,27945,1,"""same""","""same""","""same""","""same""","""It almost works for the map now. The bar chart looks ok.""","""same""",1677565411607,20230227 22:23:31
