Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
640cb218a93da14b166ce66b,c6e521a5-0831-4172-b8b2-66dfe945a24d,APPROVED,2023-03-11T16:53:44.623000Z,2023-03-11T17:05:47.258000Z,2023-03-11T17:05:47.776000,2023-03-11T17:05:47.718520Z,723,C18N4HK9,377,"Polish, English",48,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
640cb2195cbcb6cb7782f0d2,4d862946-656c-48af-b081-f390b9cf0c26,APPROVED,2023-03-11T16:53:59.483000Z,2023-03-11T17:05:11.770000Z,2023-03-11T17:05:12.288000,2023-03-11T17:05:12.214161Z,673,C18N4HK9,17,"English, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
640cb21ef4195b9d7e2a767a,d61a7259-8fe1-4a98-8100-ad38997edec7,APPROVED,2023-03-11T16:53:51.741000Z,2023-03-11T16:57:08.730000Z,2023-03-11T16:57:09.210000,2023-03-11T16:57:09.146086Z,197,C18N4HK9,412,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
640cb238874d4e38282bec9b,898bcd3a-0873-44fd-8851-026ca4b72bbb,APPROVED,2023-03-11T16:54:35.218000Z,2023-03-11T17:11:03.422000Z,2023-03-11T17:11:04.135000,2023-03-11T17:11:04.057605Z,989,C18N4HK9,273,"Greek, English",24,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
640cb3183d9fc174e2a493a3,dddc42d1-3f72-4f37-b438-eea0cd14fca0,APPROVED,2023-03-11T16:58:00.928000Z,2023-03-11T17:06:41.209000Z,2023-03-11T17:06:41.944000,2023-03-11T17:06:41.860476Z,521,C18N4HK9,158,"English, Portuguese",20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
640cb890d78694f3cbd946d1,5e5ff6ed-c345-44c6-b0d9-2908fdff41a2,APPROVED,2023-03-11T17:21:24.750000Z,2023-03-11T17:42:31.439000Z,2023-03-11T17:42:32.101000,2023-03-11T17:42:32.040189Z,1267,C18N4HK9,470,"Polish, English",43,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
640cb8a92df044de2b86b5ca,778a425d-4d3a-48c4-b9fc-3d5c9db2575b,APPROVED,2023-03-11T17:21:45.168000Z,2023-03-11T17:30:28.028000Z,2023-03-11T17:30:28.484000,2023-03-11T17:30:28.420696Z,523,C18N4HK9,180,English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
640cb8ac800c0a7b19558909,5af072f1-3725-4be7-8adb-81aa58cae1ae,APPROVED,2023-03-11T17:21:48.776000Z,2023-03-11T17:35:12.937000Z,2023-03-11T17:35:13.437000,2023-03-11T17:35:13.375888Z,805,C18N4HK9,178,"Portuguese, English, Spanish",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
640cb8af270ca7fbe0417636,642cbf31-4a02-4684-bf57-66736ad663e8,APPROVED,2023-03-11T17:22:01.972000Z,2023-03-11T17:27:48.360000Z,2023-03-11T17:27:48.970000,2023-03-11T17:27:48.905307Z,347,C18N4HK9,371,"English, Portuguese",47,Male,White,Portugal,United Kingdom,Portugal,Portuguese,No,Full-Time
640cb8b1ddb3e3d1f1cb62ad,50d55800-34bb-4277-b928-141caf6f3675,APPROVED,2023-03-11T17:22:57.401000Z,2023-03-11T17:34:42.614000Z,2023-03-11T17:34:48.728000,2023-03-11T17:34:48.628527Z,706,C18N4HK9,214,"Portuguese, English, Spanish",20,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
