participant_id,beauvis_bar_geo,beauvis_bar_icon,vibratory_bar_geo,vibratory_bar_icon
d61a7259-8fe1-4a98-8100-ad38997edec7,4.4,5.1,3.0,4.25
4d862946-656c-48af-b081-f390b9cf0c26,3.55,5.05,4.5,4.0
898bcd3a-0873-44fd-8851-026ca4b72bbb,5.25,4.7,4.25,3.0
5e5ff6ed-c345-44c6-b0d9-2908fdff41a2,3.5999999999999996,5.550000000000001,5.5,2.25
642cbf31-4a02-4684-bf57-66736ad663e8,4.0,3.85,2.75,1.0
85d68a06-7cef-41ee-9d61-83f6bdd17a5b,3.7499999999999996,4.5,4.25,1.25
b5bf68f3-e846-4278-8bb6-2e2ee7f75a4a,4.5,2.6,4.25,1.5
8dd4227b-c587-4b43-8619-f1f9d1ce6e05,5.3999999999999995,5.65,4.0,2.0
d3207db7-8e7a-44d7-a00c-c45ef92b5dc3,5.15,3.3499999999999996,2.75,1.75
731c198f-d394-4c95-8951-67cfaf30d818,5.8,6.25,3.25,1.25
6b047161-f890-44b3-994b-eb46f0653b32,3.75,2.1,4.5,4.0
a915d1b0-9bfe-4d0a-85b3-5426f378edac,4.2,5.75,6.0,2.5
b98ed816-508b-426a-be77-eb0f58055f48,4.7,4.05,4.0,4.5
4741a446-86d4-4538-ad4a-49574ef50217,3.75,4.25,3.75,2.0
c128bfd5-7704-4c3a-acb8-bc29d706f205,3.9,5.050000000000001,5.25,2.75
7e630885-867e-4689-ad21-9e6e576a4b51,5.75,5.1,4.75,2.75
7b9a7a9c-6a81-45c3-ab29-43357f37c201,3.6,5.35,2.5,2.0
8a383bce-3171-47d4-bdf5-64bc47e9b396,3.5,4.75,3.5,1.75
3cf74519-c1ce-447e-9f47-fb93d0159759,5.2,5.3,4.25,3.5
20468f88-abee-4a69-8670-80e3666ded45,4.3,4.8999999999999995,3.0,1.0
9622916d-a400-427b-a619-a8284483ec02,4.1,3.1,4.0,3.0
49bf07ca-70ac-41ab-8ed5-4775e8ae73dd,2.4000000000000004,3.35,4.5,3.5
df7611f4-bbba-4819-8763-a31336525ab0,6.0,3.8499999999999996,3.75,1.5
ae9a4c25-2742-404e-ad41-5b0351225ea5,3.85,3.5,5.0,2.75
1472388c-61ed-46ee-a204-eea2cb58b69f,3.6500000000000004,4.1,4.25,3.25
675d5a4f-4772-4b6d-bee2-41163a952b48,3.0999999999999996,4.3500000000000005,2.75,2.5
552b219e-1054-4407-acb6-44e5939179f6,2.5,2.8,4.75,4.75
91ef9098-4f18-4d2d-a8a0-f2b3766d81aa,3.75,5.75,4.75,1.0
1441cd53-5e88-421c-96c9-1ebae1cfc25a,5.25,5.25,5.25,5.25
ca3e0619-dc3d-4f31-9df1-956c31d47a9e,6.55,6.35,5.25,2.0
f4239535-d9dc-42e8-8c35-50496ffdba05,3.8999999999999995,4.05,3.5,2.25
3520af7f-ed54-4b0c-882e-0430da669c30,4.05,5.25,5.5,3.0
1dc49336-e0ce-4548-9bc3-b4bb266b6559,4.15,4.4,5.25,5.0
5d531df3-b32c-41dc-932d-2e538930f578,5.65,4.7,2.0,1.5
49301f6d-3bf6-432f-8da6-6e6144b7421d,4.0,3.5,3.25,2.0
1a0baa7e-051c-47a4-af3d-d659da56838d,4.3,3.15,3.5,3.25
1a172dba-96fb-415b-b263-821b3829c777,6.9,5.65,7.0,7.0
f0059dca-67e1-458f-8a6c-caee4833d0a3,3.5,4.949999999999999,3.25,2.25
a3661660-ba84-4a0b-9f9c-b3b8b215ddc1,4.0,4.699999999999999,3.0,2.0
7285dfe1-9d15-4d01-a70e-2caab5b632f8,4.0,4.2,4.0,2.25
ef2d5710-f770-42b1-8f4c-1d1514859429,3.8,4.35,3.5,2.75
52ae6168-3aba-4dcf-8633-d3098806e6f3,4.95,3.8499999999999996,3.5,4.25
2fd9acd2-ff94-475b-89d8-6bcf43e06f64,3.5,4.1,5.0,3.5
ff9cd6aa-0fa4-48fe-a506-44ed0c1cb7b9,3.95,4.25,2.0,5.5
02986d7c-8d3e-48b4-929e-e01de252bb37,3.25,5.45,2.5,1.25
4d5699b5-b735-4b41-9a58-25d47dfbde61,3.6,5.25,3.25,1.0
cd4bb209-8289-4f70-a3fe-e25134bfebd2,4.5,5.0,5.0,3.25
1225f945-3c88-40ae-9d72-bea762df9cf6,4.35,5.5,3.25,3.25
5ee3031a-2ed9-4b38-8d6d-5e360b4885e9,3.25,1.5,3.25,1.5
a9ca0c1e-a59c-43b9-8795-79bce64ad14c,4.6,5.05,3.0,2.0
85dc914a-3ecc-44b3-954d-b45681febb16,5.05,4.3500000000000005,2.5,3.25
9b784ff3-e0f8-4cb8-a10c-23975147e37d,3.0,3.25,3.0,3.25
4ac72177-ab61-40ac-96f7-b30995343665,2.45,4.65,2.75,5.25
