participant_id,correct_rate_bar_geo,correct_rate_bar_icon,correct_rate_bar_color,correct_rate_pie_geo,correct_rate_pie_icon,correct_rate_pie_color
15c18f93-9d69-46cc-ad91-f2e92c74d36e,,,,95.0,95.0,90.0
de190f7f-01d5-4a2d-95d5-65c327ffa9e3,95.0,95.0,100.0,,,
a78c502f-57d2-4640-a6aa-508c7d73b03b,100.0,100.0,100.0,,,
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,95.0,95.0,95.0,,,
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,100.0,90.0,95.0,,,
533e3e71-7c61-4059-9a4f-2a1714a7a205,,,,70.0,70.0,90.0
947936b5-e9b0-47cf-9323-8635083d65fb,,,,89.47368421052632,94.73684210526315,95.0
0e76dda5-95c7-4912-8826-714277b14c4a,85.0,70.0,80.0,,,
1ad742bb-a845-4016-82a2-7eb997759d00,,,,100.0,95.0,90.0
682b2fb8-3c11-47d5-b956-a146939e8c17,85.0,90.0,85.0,,,
b732bba2-460e-4db5-b534-b913ec044a5d,,,,100.0,90.0,95.0
90dcd226-0def-4f56-8dba-fc8d639a5402,,,,85.0,75.0,80.0
4ddb383d-d833-4e69-848a-fda769d52f60,,,,100.0,90.0,90.0
81bcc0a2-7d3e-474e-96c0-791cbed3973b,90.0,80.0,80.0,,,
d56a1da9-e307-4d72-a0f8-65c00242aa96,,,,85.0,90.0,95.0
96f993c9-e338-4a07-b1cf-8592327966dc,,,,85.0,100.0,95.0
31955294-3b9f-48e1-9490-deb1a5f40565,95.0,90.0,95.0,,,
c599c211-cca9-4710-a63d-ac03d1c8ea68,95.0,85.0,100.0,,,
1a5cc2e8-11db-43f4-9696-80c602fffb49,,,,89.47368421052632,100.0,100.0
637053e5-70e8-41b2-9985-6331fd06ca96,,,,95.0,95.0,95.0
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,,,,85.0,80.0,95.0
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,95.0,90.0,85.0,,,
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,,,,100.0,90.0,95.0
5feacd71-a4b0-44a8-ba4b-38ef982b0043,,,,95.0,85.0,90.0
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,100.0,100.0,100.0,,,
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,85.0,85.0,75.0,,,
f3763730-9380-4ca0-8f10-28b0c2b7108b,,,,80.0,70.0,85.0
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,,,,85.0,90.0,100.0
ebc1171a-152e-40fc-b2ff-3af77ba367b4,,,,60.0,60.0,55.00000000000001
47694fe4-1745-4401-a665-4c586d4c0318,75.0,85.0,65.0,,,
545df376-22b2-442a-b4d9-ddcd80922ef3,95.0,90.0,90.0,,,
9c86b7bb-2114-4d8b-9d4b-a799d2044613,,,,90.0,75.0,80.0
c6419031-056e-4292-9155-0348213c0cc6,90.0,85.0,80.0,,,
66948349-4522-4bf3-a790-84a8a0412427,,,,75.0,95.0,100.0
f262eed8-3076-44e7-9747-06f571483909,100.0,90.0,95.0,,,
a075a675-d758-4957-9349-3458c4ed90b6,95.0,95.0,95.0,,,
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,,,,95.0,95.0,100.0
0c2e31dd-080f-43a8-9e78-eab30cf8b149,65.0,85.0,80.0,,,
419603f3-e6a2-4e4e-8e6b-c716cbe63607,,,,95.0,95.0,85.0
b10b651f-00df-41f3-8c06-2050e2479374,90.0,80.0,80.0,,,
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,100.0,100.0,100.0,,,
7a707249-a495-495b-bc05-18e16bb7d1ae,,,,70.0,85.0,80.0
bddc7cf8-a54c-45a3-8301-b6e8887b3fc9,,,,80.0,73.68421052631578,90.0
d031e23e-deb1-42c4-9c84-60514ff51330,95.0,85.0,90.0,,,
ec695fef-aca5-4305-9635-40974363256f,90.0,80.0,85.0,,,
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,,,,95.0,100.0,88.88888888888889
53d57fcb-7af3-4228-a75a-397b54fc0eb5,,,,90.0,75.0,95.0
f987d7d8-83e6-404f-8ae4-09ac21fda356,,,,85.0,95.0,95.0
ca384519-81e3-4ef9-b313-fa3ce418cf70,,,,100.0,95.0,95.0
de62071a-0867-4561-8b25-4bb93a9c9621,,,,95.0,90.0,100.0
e0d99f7e-9fe8-4736-a4a2-acdf8796bd4c,85.0,80.0,100.0,,,
5188f5ba-3ddf-4822-8e9d-137330605c17,100.0,95.0,100.0,,,
a196f703-414e-4de0-b0e3-d7a033066f4c,100.0,95.0,100.0,,,
b8a8958e-6c4b-4e66-ad20-cf45369d2970,,,,90.0,90.0,90.0
5b30626d-41c5-48a3-888d-7095b96f8e11,100.0,100.0,100.0,,,
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,,,,78.94736842105263,95.0,90.0
c4c2f3d4-9627-47e2-8632-c675ee132500,,,,85.0,80.0,95.0
3c22ad8d-bacb-43e9-832c-48c10ef215e4,,,,90.0,80.0,85.0
2f0799b6-fb51-4b21-be3e-7aaad8e85cf5,100.0,80.0,95.0,,,
e00d843e-2ce2-4adf-b823-e80a663aeb13,,,,90.0,90.0,95.0
