participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2629,training,bar,21,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2917,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,3368,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2045,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,0,1226,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2471,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2115,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,4787,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,3713,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,3728,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,3720,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2100,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,1651,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,1923,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2586,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2195,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,3959,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,2571,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
0026e5fb-0d1f-4c91-afcb-d1e7101ba249,1,1673,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
