participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
021314e4-ab43-4594-9b8b-3121b7988b2d,-1,5000,training,pie,20,tomato,eggplant,tomato,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
021314e4-ab43-4594-9b8b-3121b7988b2d,0,2020,training,pie,28,celery,mushroom,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
021314e4-ab43-4594-9b8b-3121b7988b2d,1,2837,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1828,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1545,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
021314e4-ab43-4594-9b8b-3121b7988b2d,1,2536,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
021314e4-ab43-4594-9b8b-3121b7988b2d,1,897,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
021314e4-ab43-4594-9b8b-3121b7988b2d,0,2410,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
021314e4-ab43-4594-9b8b-3121b7988b2d,1,2689,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
021314e4-ab43-4594-9b8b-3121b7988b2d,1,2320,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1006,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
021314e4-ab43-4594-9b8b-3121b7988b2d,0,1123,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1512,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
021314e4-ab43-4594-9b8b-3121b7988b2d,1,2471,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1434,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1874,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1947,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
021314e4-ab43-4594-9b8b-3121b7988b2d,0,2647,real,pie,8,corn,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
021314e4-ab43-4594-9b8b-3121b7988b2d,0,3546,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
021314e4-ab43-4594-9b8b-3121b7988b2d,1,2864,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
021314e4-ab43-4594-9b8b-3121b7988b2d,1,1041,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
021314e4-ab43-4594-9b8b-3121b7988b2d,1,2349,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
021314e4-ab43-4594-9b8b-3121b7988b2d,1,3542,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
021314e4-ab43-4594-9b8b-3121b7988b2d,1,659,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
021314e4-ab43-4594-9b8b-3121b7988b2d,0,355,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
021314e4-ab43-4594-9b8b-3121b7988b2d,1,81,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
021314e4-ab43-4594-9b8b-3121b7988b2d,0,832,training,pie,1,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
021314e4-ab43-4594-9b8b-3121b7988b2d,1,61,training,pie,26,olive,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
021314e4-ab43-4594-9b8b-3121b7988b2d,1,81,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
021314e4-ab43-4594-9b8b-3121b7988b2d,0,258,real,pie,8,corn,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
021314e4-ab43-4594-9b8b-3121b7988b2d,1,84,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
021314e4-ab43-4594-9b8b-3121b7988b2d,1,87,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
021314e4-ab43-4594-9b8b-3121b7988b2d,0,28,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
021314e4-ab43-4594-9b8b-3121b7988b2d,1,9,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
021314e4-ab43-4594-9b8b-3121b7988b2d,0,14,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
021314e4-ab43-4594-9b8b-3121b7988b2d,0,91,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
021314e4-ab43-4594-9b8b-3121b7988b2d,1,109,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
021314e4-ab43-4594-9b8b-3121b7988b2d,0,96,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
021314e4-ab43-4594-9b8b-3121b7988b2d,1,94,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
021314e4-ab43-4594-9b8b-3121b7988b2d,0,285,training,pie,7,celery,eggplant,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,0
021314e4-ab43-4594-9b8b-3121b7988b2d,1,102,training,pie,23,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,1
021314e4-ab43-4594-9b8b-3121b7988b2d,0,93,training,pie,14,tomato,eggplant,tomato,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
