participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
03d80915-22b6-419a-9485-4e8925068e95,-1,5000,training,bar,4,celery,carrot,carrot,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
03d80915-22b6-419a-9485-4e8925068e95,1,2106,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
03d80915-22b6-419a-9485-4e8925068e95,1,3303,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
03d80915-22b6-419a-9485-4e8925068e95,0,3269,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
03d80915-22b6-419a-9485-4e8925068e95,1,1840,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
03d80915-22b6-419a-9485-4e8925068e95,1,2671,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
03d80915-22b6-419a-9485-4e8925068e95,1,3755,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
03d80915-22b6-419a-9485-4e8925068e95,1,2597,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
03d80915-22b6-419a-9485-4e8925068e95,1,2100,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
03d80915-22b6-419a-9485-4e8925068e95,1,3864,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
03d80915-22b6-419a-9485-4e8925068e95,0,2599,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
03d80915-22b6-419a-9485-4e8925068e95,0,3161,real,bar,3,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
03d80915-22b6-419a-9485-4e8925068e95,1,1775,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
03d80915-22b6-419a-9485-4e8925068e95,1,4469,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
03d80915-22b6-419a-9485-4e8925068e95,0,4354,training,bar,27,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
03d80915-22b6-419a-9485-4e8925068e95,-1,5000,training,bar,4,celery,carrot,carrot,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
03d80915-22b6-419a-9485-4e8925068e95,1,2804,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
03d80915-22b6-419a-9485-4e8925068e95,1,4114,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
03d80915-22b6-419a-9485-4e8925068e95,0,4107,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
03d80915-22b6-419a-9485-4e8925068e95,1,2879,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
03d80915-22b6-419a-9485-4e8925068e95,1,3009,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
03d80915-22b6-419a-9485-4e8925068e95,1,2927,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
03d80915-22b6-419a-9485-4e8925068e95,1,3536,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
03d80915-22b6-419a-9485-4e8925068e95,1,1945,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
03d80915-22b6-419a-9485-4e8925068e95,1,2048,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
03d80915-22b6-419a-9485-4e8925068e95,1,3699,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
03d80915-22b6-419a-9485-4e8925068e95,1,3057,training,bar,24,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
03d80915-22b6-419a-9485-4e8925068e95,1,3014,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
03d80915-22b6-419a-9485-4e8925068e95,-1,5000,training,bar,25,corn,eggplant,eggplant,none,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
03d80915-22b6-419a-9485-4e8925068e95,1,3289,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
03d80915-22b6-419a-9485-4e8925068e95,1,2587,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
03d80915-22b6-419a-9485-4e8925068e95,1,3656,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
03d80915-22b6-419a-9485-4e8925068e95,1,2795,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
03d80915-22b6-419a-9485-4e8925068e95,1,1950,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
03d80915-22b6-419a-9485-4e8925068e95,1,3328,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
03d80915-22b6-419a-9485-4e8925068e95,1,2470,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
03d80915-22b6-419a-9485-4e8925068e95,1,2226,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,7
03d80915-22b6-419a-9485-4e8925068e95,1,3326,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,8
03d80915-22b6-419a-9485-4e8925068e95,1,2666,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,9
03d80915-22b6-419a-9485-4e8925068e95,1,2327,training,bar,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,0
03d80915-22b6-419a-9485-4e8925068e95,0,2892,training,bar,11,tomato,carrot,tomato,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,1
03d80915-22b6-419a-9485-4e8925068e95,1,2941,training,bar,26,mushroom,olive,olive,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,2
03d80915-22b6-419a-9485-4e8925068e95,1,3192,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,0
03d80915-22b6-419a-9485-4e8925068e95,1,2172,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,1
03d80915-22b6-419a-9485-4e8925068e95,1,4256,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,2
03d80915-22b6-419a-9485-4e8925068e95,1,2553,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,3
03d80915-22b6-419a-9485-4e8925068e95,1,4016,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,4
03d80915-22b6-419a-9485-4e8925068e95,1,3231,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,5
03d80915-22b6-419a-9485-4e8925068e95,1,2058,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,6
03d80915-22b6-419a-9485-4e8925068e95,1,4130,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,7
03d80915-22b6-419a-9485-4e8925068e95,1,3971,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,8
