participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3726,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1847,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,0,2069,training,pie,2,mushroom,tomato,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2814,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2250,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2856,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,4683,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1785,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2245,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2607,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1618,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2126,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2600,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2033,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,0,2089,real,pie,4,carrot,mushroom,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2438,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1915,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2684,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,3
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3471,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,5
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3145,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,7
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1379,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,8
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3693,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,9
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3029,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3326,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1762,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1934,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1789,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1747,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2214,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3678,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1639,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1663,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2039,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3174,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,8
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2431,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,9
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2840,training,pie,15,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1952,training,pie,0,carrot,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1564,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1873,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,1
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1857,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2917,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,3
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3330,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,4
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,0,2348,real,pie,7,mushroom,corn,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,5
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1908,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,6
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2385,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,7
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,2374,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,8
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,1864,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,9
06acf264-8a0b-4f1a-beea-8d32a6eabe6d,1,3271,training,pie,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,0
