participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
07bff663-d383-48bb-b82d-59e3e0be9271,-1,5000,training,pie,6,celery,mushroom,mushroom,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
07bff663-d383-48bb-b82d-59e3e0be9271,1,2938,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
07bff663-d383-48bb-b82d-59e3e0be9271,1,3667,training,pie,4,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
07bff663-d383-48bb-b82d-59e3e0be9271,1,2982,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
07bff663-d383-48bb-b82d-59e3e0be9271,1,2322,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
07bff663-d383-48bb-b82d-59e3e0be9271,1,2962,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
07bff663-d383-48bb-b82d-59e3e0be9271,1,3089,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
07bff663-d383-48bb-b82d-59e3e0be9271,1,2582,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
07bff663-d383-48bb-b82d-59e3e0be9271,1,3306,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
07bff663-d383-48bb-b82d-59e3e0be9271,0,3792,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
07bff663-d383-48bb-b82d-59e3e0be9271,1,3015,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
07bff663-d383-48bb-b82d-59e3e0be9271,1,3008,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
07bff663-d383-48bb-b82d-59e3e0be9271,1,3048,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
07bff663-d383-48bb-b82d-59e3e0be9271,0,3453,training,pie,7,celery,eggplant,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
07bff663-d383-48bb-b82d-59e3e0be9271,1,2935,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
07bff663-d383-48bb-b82d-59e3e0be9271,1,3760,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
07bff663-d383-48bb-b82d-59e3e0be9271,1,2720,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
07bff663-d383-48bb-b82d-59e3e0be9271,1,2600,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
07bff663-d383-48bb-b82d-59e3e0be9271,1,2559,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
07bff663-d383-48bb-b82d-59e3e0be9271,1,3143,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
07bff663-d383-48bb-b82d-59e3e0be9271,1,3203,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
07bff663-d383-48bb-b82d-59e3e0be9271,1,2257,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
07bff663-d383-48bb-b82d-59e3e0be9271,1,2418,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
07bff663-d383-48bb-b82d-59e3e0be9271,1,4134,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
07bff663-d383-48bb-b82d-59e3e0be9271,1,1776,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
07bff663-d383-48bb-b82d-59e3e0be9271,-1,5000,real,pie,2,mushroom,celery,celery,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
07bff663-d383-48bb-b82d-59e3e0be9271,1,4567,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
07bff663-d383-48bb-b82d-59e3e0be9271,1,4704,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
07bff663-d383-48bb-b82d-59e3e0be9271,-1,5000,training,pie,2,mushroom,tomato,tomato,none,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
