participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,-1,5000,training,pie,6,celery,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,0,1957,training,pie,13,carrot,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,2324,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1441,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,2570,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,3046,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1726,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,0,1874,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1731,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,2796,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1656,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1545,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1940,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,2735,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1639,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1422,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,2344,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,0,2276,real,pie,3,olive,corn,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,2000,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
09f8ed87-1a7a-47e7-a72a-92e58f5afa10,1,1873,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
