participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3915,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2961,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2835,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,4113,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1563,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,-1,5000,real,bar,5,olive,celery,celery,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3676,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2870,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3202,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3208,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2690,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1003,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1250,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2768,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2814,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2866,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1801,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3033,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1588,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2544,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,3
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2929,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,4
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2695,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,5
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1959,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,6
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1723,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,7
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1879,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,8
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1314,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,9
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2506,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1879,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1534,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,0,2280,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1919,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2714,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1692,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2144,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1617,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1511,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2360,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2739,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,8
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2980,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,9
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,1264,training,bar,28,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"icon, geo, color",0,icon,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3189,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, geo, color",0,icon,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,0,3208,training,bar,1,corn,mushroom,corn,ArrowRight,"more, fewer",1,FEWER,"icon, geo, color",0,icon,2
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3984,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, geo, color",0,icon,0
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,3101,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, geo, color",0,icon,1
0c1369a3-8ef0-442f-bfa2-1e3ae17c6661,1,2420,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, geo, color",0,icon,2
