participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0d7ca386-5e17-4e16-abc8-068b246065ed,0,3284,training,pie,19,eggplant,carrot,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2376,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2386,training,pie,21,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2287,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3493,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
0d7ca386-5e17-4e16-abc8-068b246065ed,0,1420,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3691,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2993,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
0d7ca386-5e17-4e16-abc8-068b246065ed,0,1474,real,pie,3,olive,corn,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
0d7ca386-5e17-4e16-abc8-068b246065ed,1,4756,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2630,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2260,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2715,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
0d7ca386-5e17-4e16-abc8-068b246065ed,1,4876,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3741,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3685,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2133,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3644,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2259,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
0d7ca386-5e17-4e16-abc8-068b246065ed,1,1311,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3542,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3192,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2812,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2860,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
0d7ca386-5e17-4e16-abc8-068b246065ed,0,2841,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
0d7ca386-5e17-4e16-abc8-068b246065ed,0,2540,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3386,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
0d7ca386-5e17-4e16-abc8-068b246065ed,1,1684,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3857,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3563,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
0d7ca386-5e17-4e16-abc8-068b246065ed,0,3219,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
0d7ca386-5e17-4e16-abc8-068b246065ed,1,1453,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
0d7ca386-5e17-4e16-abc8-068b246065ed,1,4094,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
0d7ca386-5e17-4e16-abc8-068b246065ed,1,2459,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3170,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3194,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
0d7ca386-5e17-4e16-abc8-068b246065ed,1,4581,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3060,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
0d7ca386-5e17-4e16-abc8-068b246065ed,1,1358,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
0d7ca386-5e17-4e16-abc8-068b246065ed,-1,5000,training,pie,2,mushroom,tomato,mushroom,none,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3638,training,pie,12,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3603,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
0d7ca386-5e17-4e16-abc8-068b246065ed,1,1220,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
0d7ca386-5e17-4e16-abc8-068b246065ed,1,1385,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
0d7ca386-5e17-4e16-abc8-068b246065ed,1,3271,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
0d7ca386-5e17-4e16-abc8-068b246065ed,0,2502,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,3
