participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2516,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1876,training,bar,20,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2904,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1357,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1457,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1528,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2096,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,3
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2225,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,4
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1902,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,5
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2151,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,6
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1576,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,7
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2038,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1412,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,9
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,3155,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2033,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1692,training,bar,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2264,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1599,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1342,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1262,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1447,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1798,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1392,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2104,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1167,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1985,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1884,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1323,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2656,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1302,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1475,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2043,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1103,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1242,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1946,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,1905,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2585,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2020,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2868,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
0e7eaa30-c470-4089-b6df-e1a1bd120cda,1,2850,training,bar,10,celery,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
