participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
14da7a02-e077-4e0b-9179-23b396c6173c,-1,5000,training,pie,10,eggplant,celery,celery,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
14da7a02-e077-4e0b-9179-23b396c6173c,1,3110,training,pie,26,olive,mushroom,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
14da7a02-e077-4e0b-9179-23b396c6173c,1,2039,training,pie,10,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
14da7a02-e077-4e0b-9179-23b396c6173c,1,3699,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
14da7a02-e077-4e0b-9179-23b396c6173c,1,3399,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
14da7a02-e077-4e0b-9179-23b396c6173c,0,2000,real,pie,2,mushroom,celery,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
14da7a02-e077-4e0b-9179-23b396c6173c,0,3049,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
14da7a02-e077-4e0b-9179-23b396c6173c,1,2949,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
14da7a02-e077-4e0b-9179-23b396c6173c,0,2391,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
14da7a02-e077-4e0b-9179-23b396c6173c,1,2630,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
14da7a02-e077-4e0b-9179-23b396c6173c,1,2019,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
14da7a02-e077-4e0b-9179-23b396c6173c,1,1439,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
14da7a02-e077-4e0b-9179-23b396c6173c,1,2780,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
14da7a02-e077-4e0b-9179-23b396c6173c,1,2869,training,pie,26,olive,mushroom,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
14da7a02-e077-4e0b-9179-23b396c6173c,1,2419,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
14da7a02-e077-4e0b-9179-23b396c6173c,1,1180,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
14da7a02-e077-4e0b-9179-23b396c6173c,1,1399,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
14da7a02-e077-4e0b-9179-23b396c6173c,1,1650,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
14da7a02-e077-4e0b-9179-23b396c6173c,1,2919,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,2
14da7a02-e077-4e0b-9179-23b396c6173c,1,2410,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,3
14da7a02-e077-4e0b-9179-23b396c6173c,0,2089,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,4
14da7a02-e077-4e0b-9179-23b396c6173c,1,1960,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,5
14da7a02-e077-4e0b-9179-23b396c6173c,1,1610,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,6
