participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
1a6d730a-2365-4830-919c-3d01e424688d,-1,5000,training,pie,26,olive,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
1a6d730a-2365-4830-919c-3d01e424688d,0,2364,training,pie,18,eggplant,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
1a6d730a-2365-4830-919c-3d01e424688d,1,1133,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
1a6d730a-2365-4830-919c-3d01e424688d,0,1669,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
1a6d730a-2365-4830-919c-3d01e424688d,0,613,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
1a6d730a-2365-4830-919c-3d01e424688d,1,788,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
1a6d730a-2365-4830-919c-3d01e424688d,0,1041,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
1a6d730a-2365-4830-919c-3d01e424688d,1,642,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
1a6d730a-2365-4830-919c-3d01e424688d,1,888,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
1a6d730a-2365-4830-919c-3d01e424688d,1,1510,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
1a6d730a-2365-4830-919c-3d01e424688d,1,854,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
1a6d730a-2365-4830-919c-3d01e424688d,0,954,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
1a6d730a-2365-4830-919c-3d01e424688d,1,845,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
1a6d730a-2365-4830-919c-3d01e424688d,-1,5000,training,pie,15,eggplant,tomato,eggplant,none,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
1a6d730a-2365-4830-919c-3d01e424688d,0,622,training,pie,21,eggplant,mushroom,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
1a6d730a-2365-4830-919c-3d01e424688d,1,609,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
1a6d730a-2365-4830-919c-3d01e424688d,1,635,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
1a6d730a-2365-4830-919c-3d01e424688d,1,892,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
1a6d730a-2365-4830-919c-3d01e424688d,1,609,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
1a6d730a-2365-4830-919c-3d01e424688d,0,635,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
1a6d730a-2365-4830-919c-3d01e424688d,0,578,real,pie,3,olive,corn,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
1a6d730a-2365-4830-919c-3d01e424688d,0,531,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
1a6d730a-2365-4830-919c-3d01e424688d,0,434,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
1a6d730a-2365-4830-919c-3d01e424688d,1,2520,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
1a6d730a-2365-4830-919c-3d01e424688d,0,479,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
1a6d730a-2365-4830-919c-3d01e424688d,0,434,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
1a6d730a-2365-4830-919c-3d01e424688d,0,4696,training,pie,27,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
1a6d730a-2365-4830-919c-3d01e424688d,1,2594,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
1a6d730a-2365-4830-919c-3d01e424688d,1,2676,training,pie,16,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
1a6d730a-2365-4830-919c-3d01e424688d,1,2150,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
1a6d730a-2365-4830-919c-3d01e424688d,0,1404,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
1a6d730a-2365-4830-919c-3d01e424688d,0,1688,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
1a6d730a-2365-4830-919c-3d01e424688d,0,1430,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
1a6d730a-2365-4830-919c-3d01e424688d,1,1296,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
1a6d730a-2365-4830-919c-3d01e424688d,0,950,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
1a6d730a-2365-4830-919c-3d01e424688d,0,986,real,pie,8,corn,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
1a6d730a-2365-4830-919c-3d01e424688d,0,775,real,pie,3,olive,corn,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
1a6d730a-2365-4830-919c-3d01e424688d,0,1027,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
1a6d730a-2365-4830-919c-3d01e424688d,1,1384,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
1a6d730a-2365-4830-919c-3d01e424688d,0,2023,training,pie,21,eggplant,mushroom,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,0
1a6d730a-2365-4830-919c-3d01e424688d,1,2321,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,1
1a6d730a-2365-4830-919c-3d01e424688d,0,1364,training,pie,22,mushroom,corn,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,2
1a6d730a-2365-4830-919c-3d01e424688d,1,1277,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,0
1a6d730a-2365-4830-919c-3d01e424688d,1,1096,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,1
1a6d730a-2365-4830-919c-3d01e424688d,1,1805,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,2
1a6d730a-2365-4830-919c-3d01e424688d,1,1342,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,3
1a6d730a-2365-4830-919c-3d01e424688d,1,1032,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,4
1a6d730a-2365-4830-919c-3d01e424688d,1,1345,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,5
1a6d730a-2365-4830-919c-3d01e424688d,1,1259,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,6
1a6d730a-2365-4830-919c-3d01e424688d,1,1094,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,7
1a6d730a-2365-4830-919c-3d01e424688d,1,2352,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,8
1a6d730a-2365-4830-919c-3d01e424688d,1,1222,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,9
1a6d730a-2365-4830-919c-3d01e424688d,1,1961,training,pie,26,olive,mushroom,olive,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,0
1a6d730a-2365-4830-919c-3d01e424688d,1,1605,training,pie,26,olive,mushroom,olive,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,1
1a6d730a-2365-4830-919c-3d01e424688d,0,1370,training,pie,16,olive,mushroom,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,2
1a6d730a-2365-4830-919c-3d01e424688d,1,2153,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",1,icon,0
1a6d730a-2365-4830-919c-3d01e424688d,1,1834,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,1
1a6d730a-2365-4830-919c-3d01e424688d,1,2231,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",1,icon,2
