participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
207741ad-0954-4c9b-b844-036d2630e408,1,1902,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
207741ad-0954-4c9b-b844-036d2630e408,1,4634,training,pie,4,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
207741ad-0954-4c9b-b844-036d2630e408,1,3247,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
207741ad-0954-4c9b-b844-036d2630e408,1,2054,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
207741ad-0954-4c9b-b844-036d2630e408,1,1802,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
207741ad-0954-4c9b-b844-036d2630e408,1,2600,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
207741ad-0954-4c9b-b844-036d2630e408,1,1991,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
207741ad-0954-4c9b-b844-036d2630e408,1,2936,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
207741ad-0954-4c9b-b844-036d2630e408,1,2520,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
207741ad-0954-4c9b-b844-036d2630e408,1,1903,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
207741ad-0954-4c9b-b844-036d2630e408,1,1408,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
207741ad-0954-4c9b-b844-036d2630e408,1,3400,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
207741ad-0954-4c9b-b844-036d2630e408,1,1674,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
207741ad-0954-4c9b-b844-036d2630e408,1,2974,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
207741ad-0954-4c9b-b844-036d2630e408,1,1983,training,pie,18,eggplant,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
207741ad-0954-4c9b-b844-036d2630e408,1,3077,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
207741ad-0954-4c9b-b844-036d2630e408,1,1967,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
207741ad-0954-4c9b-b844-036d2630e408,1,3338,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
207741ad-0954-4c9b-b844-036d2630e408,0,2088,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
207741ad-0954-4c9b-b844-036d2630e408,1,2424,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
207741ad-0954-4c9b-b844-036d2630e408,1,3375,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
207741ad-0954-4c9b-b844-036d2630e408,1,4026,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
207741ad-0954-4c9b-b844-036d2630e408,1,2295,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
207741ad-0954-4c9b-b844-036d2630e408,1,1466,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
207741ad-0954-4c9b-b844-036d2630e408,1,4593,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
207741ad-0954-4c9b-b844-036d2630e408,1,3833,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
207741ad-0954-4c9b-b844-036d2630e408,1,2024,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
207741ad-0954-4c9b-b844-036d2630e408,1,2174,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
207741ad-0954-4c9b-b844-036d2630e408,1,2856,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
207741ad-0954-4c9b-b844-036d2630e408,1,2247,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
207741ad-0954-4c9b-b844-036d2630e408,1,1924,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
207741ad-0954-4c9b-b844-036d2630e408,1,1959,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
207741ad-0954-4c9b-b844-036d2630e408,1,1920,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
207741ad-0954-4c9b-b844-036d2630e408,1,1936,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
207741ad-0954-4c9b-b844-036d2630e408,1,2101,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
207741ad-0954-4c9b-b844-036d2630e408,1,1919,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
