participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,4437,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,-1,5000,training,bar,22,corn,mushroom,corn,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,2721,training,bar,2,tomato,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,3170,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,2552,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,0,2347,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,3097,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,3709,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,2966,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,2282,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,2891,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
22bacae5-4d0e-4578-bb77-3f83b70cd5f0,1,1889,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
