participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
24bfc539-d0f7-44cc-9d6c-313285005c91,1,4915,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
24bfc539-d0f7-44cc-9d6c-313285005c91,1,4312,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
24bfc539-d0f7-44cc-9d6c-313285005c91,1,4696,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
24bfc539-d0f7-44cc-9d6c-313285005c91,1,2319,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
24bfc539-d0f7-44cc-9d6c-313285005c91,1,4829,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
24bfc539-d0f7-44cc-9d6c-313285005c91,1,2298,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
24bfc539-d0f7-44cc-9d6c-313285005c91,1,3840,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
24bfc539-d0f7-44cc-9d6c-313285005c91,1,2968,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
24bfc539-d0f7-44cc-9d6c-313285005c91,1,3420,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
24bfc539-d0f7-44cc-9d6c-313285005c91,1,3509,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
24bfc539-d0f7-44cc-9d6c-313285005c91,1,2703,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
24bfc539-d0f7-44cc-9d6c-313285005c91,1,2551,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
24bfc539-d0f7-44cc-9d6c-313285005c91,1,3695,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
24bfc539-d0f7-44cc-9d6c-313285005c91,1,3939,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,0
24bfc539-d0f7-44cc-9d6c-313285005c91,1,2179,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
24bfc539-d0f7-44cc-9d6c-313285005c91,1,1855,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
