participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
25d26875-2892-4ebf-b229-8520501533f7,1,937,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
25d26875-2892-4ebf-b229-8520501533f7,1,3214,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
25d26875-2892-4ebf-b229-8520501533f7,1,4934,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
25d26875-2892-4ebf-b229-8520501533f7,1,2714,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
25d26875-2892-4ebf-b229-8520501533f7,1,878,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
25d26875-2892-4ebf-b229-8520501533f7,1,3170,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
25d26875-2892-4ebf-b229-8520501533f7,0,1508,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
25d26875-2892-4ebf-b229-8520501533f7,1,1540,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
25d26875-2892-4ebf-b229-8520501533f7,1,2784,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
25d26875-2892-4ebf-b229-8520501533f7,0,1572,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
25d26875-2892-4ebf-b229-8520501533f7,1,1465,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
25d26875-2892-4ebf-b229-8520501533f7,1,1973,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
25d26875-2892-4ebf-b229-8520501533f7,0,2267,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
25d26875-2892-4ebf-b229-8520501533f7,1,1559,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
25d26875-2892-4ebf-b229-8520501533f7,1,1828,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
25d26875-2892-4ebf-b229-8520501533f7,1,1484,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
25d26875-2892-4ebf-b229-8520501533f7,0,1282,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
25d26875-2892-4ebf-b229-8520501533f7,0,1043,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
25d26875-2892-4ebf-b229-8520501533f7,0,1182,real,pie,1,tomato,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
25d26875-2892-4ebf-b229-8520501533f7,1,1508,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
25d26875-2892-4ebf-b229-8520501533f7,1,2956,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
25d26875-2892-4ebf-b229-8520501533f7,0,1862,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
25d26875-2892-4ebf-b229-8520501533f7,1,2134,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
25d26875-2892-4ebf-b229-8520501533f7,0,2573,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
25d26875-2892-4ebf-b229-8520501533f7,1,3122,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
25d26875-2892-4ebf-b229-8520501533f7,1,4803,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
25d26875-2892-4ebf-b229-8520501533f7,1,1795,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
25d26875-2892-4ebf-b229-8520501533f7,1,1578,training,pie,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
25d26875-2892-4ebf-b229-8520501533f7,1,2337,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
25d26875-2892-4ebf-b229-8520501533f7,1,1527,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
25d26875-2892-4ebf-b229-8520501533f7,1,4658,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
25d26875-2892-4ebf-b229-8520501533f7,1,1831,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
25d26875-2892-4ebf-b229-8520501533f7,1,1344,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
25d26875-2892-4ebf-b229-8520501533f7,1,1561,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
25d26875-2892-4ebf-b229-8520501533f7,1,1233,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
