participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
29b600d6-00af-4108-a292-e8cc0c3cb5cc,-1,5000,training,bar,11,tomato,carrot,carrot,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2409,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2713,training,bar,18,corn,eggplant,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2729,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3713,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3177,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2505,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1728,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3720,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3896,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,4177,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2312,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3720,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3089,training,bar,2,tomato,mushroom,tomato,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3096,training,bar,10,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2456,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2696,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2295,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2233,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1747,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2007,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2184,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2977,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1695,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1423,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3576,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2041,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2512,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2306,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1768,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,0,2624,real,bar,3,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2960,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1936,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,3
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2592,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
29b600d6-00af-4108-a292-e8cc0c3cb5cc,0,1919,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,5
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3273,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,6
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1200,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,7
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1912,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,8
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3161,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,9
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3145,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2473,training,bar,0,corn,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,3104,training,bar,3,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2896,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,0
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,4504,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,1
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2384,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,2
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1928,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,3
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1848,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,4
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,2032,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,5
29b600d6-00af-4108-a292-e8cc0c3cb5cc,1,1361,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,6
