participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
3c22ad8d-bacb-43e9-832c-48c10ef215e4,0,2733,training,pie,21,eggplant,mushroom,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
3c22ad8d-bacb-43e9-832c-48c10ef215e4,-1,5000,training,pie,7,celery,eggplant,eggplant,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,2489,training,pie,26,olive,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,3656,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
3c22ad8d-bacb-43e9-832c-48c10ef215e4,0,2137,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,2097,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,1616,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,2407,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,3655,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,2063,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
3c22ad8d-bacb-43e9-832c-48c10ef215e4,0,1615,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,3455,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,4377,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,1975,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,1728,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,1360,training,pie,26,olive,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,1832,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
3c22ad8d-bacb-43e9-832c-48c10ef215e4,1,960,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
