participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
3e322656-a073-4f0d-a148-b5b40ea5f6e7,-1,5000,training,bar,11,tomato,carrot,tomato,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,3190,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2228,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2470,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2059,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2341,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2277,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2442,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,3331,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,3454,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2667,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2846,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,1869,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2417,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2453,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2381,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,3426,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2740,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,1694,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,3463,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,3
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2436,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,4
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,1659,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,5
3e322656-a073-4f0d-a148-b5b40ea5f6e7,0,2078,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,6
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2241,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,7
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,1919,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,8
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2398,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,9
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2370,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,1622,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,2015,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
3e322656-a073-4f0d-a148-b5b40ea5f6e7,1,1896,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
