participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
419603f3-e6a2-4e4e-8e6b-c716cbe63607,0,4646,training,pie,13,carrot,olive,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2940,training,pie,24,mushroom,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3558,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3812,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1273,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1561,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2489,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1450,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,4602,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2714,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1441,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1079,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,893,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2188,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1165,training,pie,10,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,993,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,0,1806,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2302,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1491,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2496,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1763,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,4101,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2506,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1708,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,4339,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1767,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3578,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1664,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3698,training,pie,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,0,1426,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,964,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1261,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1832,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,3
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3603,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,4
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2734,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,5
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2241,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,6
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2147,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,7
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3130,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,8
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1749,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,9
419603f3-e6a2-4e4e-8e6b-c716cbe63607,0,2577,training,pie,1,mushroom,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2698,training,pie,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2503,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,4922,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
419603f3-e6a2-4e4e-8e6b-c716cbe63607,0,1342,real,pie,8,corn,celery,celery,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,1691,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3534,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,3
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,2809,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,4
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,3358,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,5
419603f3-e6a2-4e4e-8e6b-c716cbe63607,1,4361,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,6
