participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
4ddb383d-d833-4e69-848a-fda769d52f60,1,4439,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,3100,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
4ddb383d-d833-4e69-848a-fda769d52f60,-1,5000,training,pie,4,carrot,celery,carrot,none,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,2317,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
4ddb383d-d833-4e69-848a-fda769d52f60,0,3257,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
4ddb383d-d833-4e69-848a-fda769d52f60,1,2154,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,1943,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
4ddb383d-d833-4e69-848a-fda769d52f60,1,3311,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
4ddb383d-d833-4e69-848a-fda769d52f60,1,2801,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
4ddb383d-d833-4e69-848a-fda769d52f60,1,2249,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
4ddb383d-d833-4e69-848a-fda769d52f60,1,2826,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
4ddb383d-d833-4e69-848a-fda769d52f60,1,2972,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,8
4ddb383d-d833-4e69-848a-fda769d52f60,1,3524,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,9
4ddb383d-d833-4e69-848a-fda769d52f60,1,2185,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,4242,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
4ddb383d-d833-4e69-848a-fda769d52f60,1,3152,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,3123,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,4606,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
4ddb383d-d833-4e69-848a-fda769d52f60,1,2152,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,1604,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,3
4ddb383d-d833-4e69-848a-fda769d52f60,1,2439,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,4
4ddb383d-d833-4e69-848a-fda769d52f60,1,2319,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,5
4ddb383d-d833-4e69-848a-fda769d52f60,1,3401,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,6
4ddb383d-d833-4e69-848a-fda769d52f60,1,1887,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,7
4ddb383d-d833-4e69-848a-fda769d52f60,1,2474,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,8
4ddb383d-d833-4e69-848a-fda769d52f60,1,2673,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,9
4ddb383d-d833-4e69-848a-fda769d52f60,1,2527,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,3085,training,pie,18,eggplant,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,1
4ddb383d-d833-4e69-848a-fda769d52f60,1,2383,training,pie,16,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,3012,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,1943,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,1
4ddb383d-d833-4e69-848a-fda769d52f60,1,2554,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,2165,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,3
4ddb383d-d833-4e69-848a-fda769d52f60,1,1475,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,4
4ddb383d-d833-4e69-848a-fda769d52f60,0,2830,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,5
4ddb383d-d833-4e69-848a-fda769d52f60,1,4280,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,6
4ddb383d-d833-4e69-848a-fda769d52f60,1,1920,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,7
4ddb383d-d833-4e69-848a-fda769d52f60,1,3143,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,8
4ddb383d-d833-4e69-848a-fda769d52f60,1,4366,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,9
4ddb383d-d833-4e69-848a-fda769d52f60,-1,5000,training,pie,2,mushroom,tomato,mushroom,none,"fewer, more",1,MORE,"color, icon, geo",0,color,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,1182,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,1
4ddb383d-d833-4e69-848a-fda769d52f60,1,1351,training,pie,24,mushroom,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,1026,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,1703,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,1
4ddb383d-d833-4e69-848a-fda769d52f60,1,1419,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
4ddb383d-d833-4e69-848a-fda769d52f60,1,2732,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,3
4ddb383d-d833-4e69-848a-fda769d52f60,1,2346,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,4
4ddb383d-d833-4e69-848a-fda769d52f60,1,3862,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,5
4ddb383d-d833-4e69-848a-fda769d52f60,1,3417,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,6
4ddb383d-d833-4e69-848a-fda769d52f60,1,1679,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,7
4ddb383d-d833-4e69-848a-fda769d52f60,0,1891,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,8
4ddb383d-d833-4e69-848a-fda769d52f60,1,3716,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,9
4ddb383d-d833-4e69-848a-fda769d52f60,1,2378,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,2928,training,pie,22,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
4ddb383d-d833-4e69-848a-fda769d52f60,0,1824,training,pie,13,carrot,olive,carrot,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,2
4ddb383d-d833-4e69-848a-fda769d52f60,0,4192,real,pie,7,mushroom,corn,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
4ddb383d-d833-4e69-848a-fda769d52f60,1,3998,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
