participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
4e15472b-0299-4327-a748-9fcb12535f1e,0,4569,training,pie,15,eggplant,tomato,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
4e15472b-0299-4327-a748-9fcb12535f1e,1,2681,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
4e15472b-0299-4327-a748-9fcb12535f1e,1,3166,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
4e15472b-0299-4327-a748-9fcb12535f1e,1,2347,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
4e15472b-0299-4327-a748-9fcb12535f1e,1,4408,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
4e15472b-0299-4327-a748-9fcb12535f1e,1,2204,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
4e15472b-0299-4327-a748-9fcb12535f1e,1,2984,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
4e15472b-0299-4327-a748-9fcb12535f1e,1,2278,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
4e15472b-0299-4327-a748-9fcb12535f1e,1,2153,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
4e15472b-0299-4327-a748-9fcb12535f1e,1,2690,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
4e15472b-0299-4327-a748-9fcb12535f1e,1,2843,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
4e15472b-0299-4327-a748-9fcb12535f1e,1,3214,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
4e15472b-0299-4327-a748-9fcb12535f1e,1,4599,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
4e15472b-0299-4327-a748-9fcb12535f1e,1,3618,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
4e15472b-0299-4327-a748-9fcb12535f1e,1,1639,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
4e15472b-0299-4327-a748-9fcb12535f1e,1,3752,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
4e15472b-0299-4327-a748-9fcb12535f1e,1,3123,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
4e15472b-0299-4327-a748-9fcb12535f1e,1,2095,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
4e15472b-0299-4327-a748-9fcb12535f1e,1,3709,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
4e15472b-0299-4327-a748-9fcb12535f1e,1,2419,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
4e15472b-0299-4327-a748-9fcb12535f1e,1,2041,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
4e15472b-0299-4327-a748-9fcb12535f1e,1,1531,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
4e15472b-0299-4327-a748-9fcb12535f1e,1,2328,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
