participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,3757,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2260,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,4608,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1447,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1549,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1751,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2873,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
50e2fe56-92ec-4bb1-b112-8e3638faecb3,-1,5000,real,pie,4,carrot,mushroom,carrot,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1636,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1886,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2339,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2066,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2755,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
50e2fe56-92ec-4bb1-b112-8e3638faecb3,-1,5000,training,pie,8,olive,eggplant,eggplant,none,"more, fewer",0,MORE,"icon, color, geo",1,color,0
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1893,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1937,training,pie,3,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1489,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,0
50e2fe56-92ec-4bb1-b112-8e3638faecb3,0,2614,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,3925,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,3009,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,3
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2423,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,4
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2707,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,5
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1884,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,6
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1515,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,7
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2925,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,8
50e2fe56-92ec-4bb1-b112-8e3638faecb3,0,2868,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,9
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2378,training,pie,11,carrot,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2070,training,pie,24,mushroom,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1988,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1967,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2070,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2188,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
50e2fe56-92ec-4bb1-b112-8e3638faecb3,0,2117,real,pie,4,carrot,mushroom,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2476,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,4200,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2642,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2929,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1964,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,8
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,3166,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,9
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,3429,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,2705,training,pie,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
50e2fe56-92ec-4bb1-b112-8e3638faecb3,0,3759,training,pie,0,carrot,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
50e2fe56-92ec-4bb1-b112-8e3638faecb3,1,1840,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
