participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,3499,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
53d57fcb-7af3-4228-a75a-397b54fc0eb5,0,2804,training,pie,1,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
53d57fcb-7af3-4228-a75a-397b54fc0eb5,0,3061,training,pie,25,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2502,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,3095,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2455,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2654,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2951,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1241,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2196,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2558,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2692,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1696,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,4079,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2502,training,pie,26,olive,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2585,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
53d57fcb-7af3-4228-a75a-397b54fc0eb5,0,2782,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2521,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
53d57fcb-7af3-4228-a75a-397b54fc0eb5,-1,5000,real,pie,7,mushroom,corn,mushroom,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2693,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2728,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1097,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
53d57fcb-7af3-4228-a75a-397b54fc0eb5,0,1358,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1560,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2447,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2216,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1940,training,pie,18,eggplant,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2435,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1615,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2760,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1349,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
53d57fcb-7af3-4228-a75a-397b54fc0eb5,0,2302,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1213,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2442,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1546,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2565,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2210,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,2191,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
53d57fcb-7af3-4228-a75a-397b54fc0eb5,1,1771,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
