participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
58b780d1-82e8-498e-8029-a122d2eef553,1,3350,training,bar,20,eggplant,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
58b780d1-82e8-498e-8029-a122d2eef553,1,2468,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
58b780d1-82e8-498e-8029-a122d2eef553,1,2378,training,bar,25,corn,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
58b780d1-82e8-498e-8029-a122d2eef553,1,2610,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
58b780d1-82e8-498e-8029-a122d2eef553,1,3354,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
58b780d1-82e8-498e-8029-a122d2eef553,1,2377,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
58b780d1-82e8-498e-8029-a122d2eef553,1,3075,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
58b780d1-82e8-498e-8029-a122d2eef553,1,3340,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
58b780d1-82e8-498e-8029-a122d2eef553,1,1932,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
58b780d1-82e8-498e-8029-a122d2eef553,1,2730,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
58b780d1-82e8-498e-8029-a122d2eef553,1,3140,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
58b780d1-82e8-498e-8029-a122d2eef553,1,1795,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
58b780d1-82e8-498e-8029-a122d2eef553,1,3607,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
58b780d1-82e8-498e-8029-a122d2eef553,1,2194,training,bar,25,corn,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
58b780d1-82e8-498e-8029-a122d2eef553,1,2602,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
58b780d1-82e8-498e-8029-a122d2eef553,1,4678,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
58b780d1-82e8-498e-8029-a122d2eef553,1,1665,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
58b780d1-82e8-498e-8029-a122d2eef553,1,1618,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
58b780d1-82e8-498e-8029-a122d2eef553,1,2303,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
58b780d1-82e8-498e-8029-a122d2eef553,1,1689,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
58b780d1-82e8-498e-8029-a122d2eef553,1,2058,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
58b780d1-82e8-498e-8029-a122d2eef553,1,3286,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
58b780d1-82e8-498e-8029-a122d2eef553,1,1772,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
58b780d1-82e8-498e-8029-a122d2eef553,1,2505,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
58b780d1-82e8-498e-8029-a122d2eef553,1,2720,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
58b780d1-82e8-498e-8029-a122d2eef553,1,3242,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
58b780d1-82e8-498e-8029-a122d2eef553,1,1823,training,bar,18,corn,eggplant,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
58b780d1-82e8-498e-8029-a122d2eef553,1,2028,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
58b780d1-82e8-498e-8029-a122d2eef553,1,1797,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
58b780d1-82e8-498e-8029-a122d2eef553,1,2554,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
58b780d1-82e8-498e-8029-a122d2eef553,1,1910,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
58b780d1-82e8-498e-8029-a122d2eef553,1,3579,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
58b780d1-82e8-498e-8029-a122d2eef553,1,1851,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
58b780d1-82e8-498e-8029-a122d2eef553,1,1403,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
58b780d1-82e8-498e-8029-a122d2eef553,1,2057,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
58b780d1-82e8-498e-8029-a122d2eef553,1,2192,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
58b780d1-82e8-498e-8029-a122d2eef553,1,1717,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,7
58b780d1-82e8-498e-8029-a122d2eef553,1,2040,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,8
58b780d1-82e8-498e-8029-a122d2eef553,1,2554,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,9
58b780d1-82e8-498e-8029-a122d2eef553,1,2915,training,bar,3,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
58b780d1-82e8-498e-8029-a122d2eef553,1,1813,training,bar,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
58b780d1-82e8-498e-8029-a122d2eef553,1,2616,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
58b780d1-82e8-498e-8029-a122d2eef553,1,1849,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
58b780d1-82e8-498e-8029-a122d2eef553,1,3215,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
58b780d1-82e8-498e-8029-a122d2eef553,1,2053,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
58b780d1-82e8-498e-8029-a122d2eef553,1,2457,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,3
58b780d1-82e8-498e-8029-a122d2eef553,1,2799,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,4
58b780d1-82e8-498e-8029-a122d2eef553,1,3665,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,5
58b780d1-82e8-498e-8029-a122d2eef553,1,1940,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,6
58b780d1-82e8-498e-8029-a122d2eef553,1,2367,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,7
58b780d1-82e8-498e-8029-a122d2eef553,1,1940,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,8
58b780d1-82e8-498e-8029-a122d2eef553,1,2063,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,9
58b780d1-82e8-498e-8029-a122d2eef553,1,2694,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
58b780d1-82e8-498e-8029-a122d2eef553,1,2386,training,bar,14,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
58b780d1-82e8-498e-8029-a122d2eef553,1,1811,training,bar,7,eggplant,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
58b780d1-82e8-498e-8029-a122d2eef553,1,2218,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
58b780d1-82e8-498e-8029-a122d2eef553,1,1991,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
58b780d1-82e8-498e-8029-a122d2eef553,1,1704,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
58b780d1-82e8-498e-8029-a122d2eef553,1,2723,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,3
58b780d1-82e8-498e-8029-a122d2eef553,1,4114,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,4
