participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2862,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3048,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,5007,training,pie,26,olive,mushroom,olive,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2161,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3512,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2229,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2641,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3363,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2894,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2699,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3619,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2601,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,4590,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,1586,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,1811,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2279,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,1903,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2075,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,854,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2085,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,3
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,0,1902,real,pie,4,carrot,mushroom,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,4
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,1702,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,5
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,911,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,6
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,1804,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,7
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3730,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,8
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2172,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,9
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,4900,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2281,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3660,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2291,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2242,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3031,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3767,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,3
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2682,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,4
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3780,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,5
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3708,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,6
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,4288,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,7
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2742,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,8
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,1653,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,9
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,0,2318,training,pie,2,mushroom,tomato,tomato,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2347,training,pie,23,olive,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2739,training,pie,21,eggplant,mushroom,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2159,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,1685,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,0,3382,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,2072,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,3
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,0,2255,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,4
59459a8f-ae88-4ad7-b408-b0d9ccf63daa,1,3354,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,5
