participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2412,training,bar,21,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2228,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2387,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1984,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2072,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2459,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2623,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1759,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
5b30626d-41c5-48a3-888d-7095b96f8e11,1,3112,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1469,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1480,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2725,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2125,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
5b30626d-41c5-48a3-888d-7095b96f8e11,0,4453,training,bar,3,carrot,celery,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2190,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2641,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2115,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2527,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1834,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1643,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1396,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1768,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2418,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2577,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2059,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1874,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1640,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,3136,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2048,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1518,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1513,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1532,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2692,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
5b30626d-41c5-48a3-888d-7095b96f8e11,1,3212,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1837,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2694,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1941,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2660,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2710,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1835,training,bar,17,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2358,training,bar,3,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2180,training,bar,14,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,4103,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1895,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2133,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2057,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,3
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2561,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,4
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1599,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,5
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1579,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,6
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2552,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,7
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2538,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,8
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1607,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,9
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2324,training,bar,26,mushroom,olive,olive,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,4744,training,bar,2,tomato,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,3390,training,bar,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,2
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1743,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
5b30626d-41c5-48a3-888d-7095b96f8e11,1,1986,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
5b30626d-41c5-48a3-888d-7095b96f8e11,1,2594,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,2
