participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,4442,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,0,2579,training,pie,1,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,3658,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,2906,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,2549,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,2591,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,3168,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,-1,5000,real,pie,5,celery,olive,olive,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,2350,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,0,4018,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,2150,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,1777,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,2818,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,-1,5000,training,pie,2,mushroom,tomato,tomato,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
5f45206b-b8cc-4f7c-88f8-d25ff6597bbc,1,3272,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
