participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
63986aae-ac83-48f4-a925-523362687985,1,4897,training,pie,11,carrot,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
63986aae-ac83-48f4-a925-523362687985,-1,5000,training,pie,13,carrot,olive,carrot,none,"more, fewer",0,MORE,"color, geo, icon",0,color,1
63986aae-ac83-48f4-a925-523362687985,1,3448,training,pie,18,eggplant,corn,eggplant,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
63986aae-ac83-48f4-a925-523362687985,1,4712,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
63986aae-ac83-48f4-a925-523362687985,1,2122,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
63986aae-ac83-48f4-a925-523362687985,0,3889,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
63986aae-ac83-48f4-a925-523362687985,1,3232,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,3
63986aae-ac83-48f4-a925-523362687985,1,2096,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,4
63986aae-ac83-48f4-a925-523362687985,1,2335,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,5
63986aae-ac83-48f4-a925-523362687985,1,3713,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,6
63986aae-ac83-48f4-a925-523362687985,1,3273,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
63986aae-ac83-48f4-a925-523362687985,1,2191,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,8
63986aae-ac83-48f4-a925-523362687985,0,2296,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
63986aae-ac83-48f4-a925-523362687985,1,1881,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
63986aae-ac83-48f4-a925-523362687985,1,1543,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
63986aae-ac83-48f4-a925-523362687985,1,2359,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
63986aae-ac83-48f4-a925-523362687985,1,1183,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
63986aae-ac83-48f4-a925-523362687985,1,1935,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
63986aae-ac83-48f4-a925-523362687985,1,1080,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
63986aae-ac83-48f4-a925-523362687985,1,2358,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
63986aae-ac83-48f4-a925-523362687985,1,991,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
