participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
67c83238-251b-44a3-9a2f-119256d75270,1,3617,training,pie,10,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
67c83238-251b-44a3-9a2f-119256d75270,1,2022,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
67c83238-251b-44a3-9a2f-119256d75270,1,2431,training,pie,18,eggplant,corn,eggplant,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
67c83238-251b-44a3-9a2f-119256d75270,1,1437,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
67c83238-251b-44a3-9a2f-119256d75270,1,2462,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
67c83238-251b-44a3-9a2f-119256d75270,1,3209,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
67c83238-251b-44a3-9a2f-119256d75270,1,3739,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
67c83238-251b-44a3-9a2f-119256d75270,1,2021,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
67c83238-251b-44a3-9a2f-119256d75270,1,2910,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
67c83238-251b-44a3-9a2f-119256d75270,1,1895,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
67c83238-251b-44a3-9a2f-119256d75270,1,3126,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
67c83238-251b-44a3-9a2f-119256d75270,1,2129,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
