participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2287,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1735,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2262,training,bar,11,tomato,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1750,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1982,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2688,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1560,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1971,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
682b2fb8-3c11-47d5-b956-a146939e8c17,0,4082,real,bar,3,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3679,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2145,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3254,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1992,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3158,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1722,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3289,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3113,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3938,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3590,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2122,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2422,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3174,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
682b2fb8-3c11-47d5-b956-a146939e8c17,0,3683,real,bar,1,corn,tomato,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3976,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3546,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2955,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2104,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2277,training,bar,17,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
682b2fb8-3c11-47d5-b956-a146939e8c17,0,2510,training,bar,25,corn,eggplant,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1817,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2407,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2694,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1501,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1788,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1902,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1869,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
682b2fb8-3c11-47d5-b956-a146939e8c17,0,2275,real,bar,8,celery,corn,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1789,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1812,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
682b2fb8-3c11-47d5-b956-a146939e8c17,0,1938,training,bar,18,corn,eggplant,eggplant,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3024,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,4698,training,bar,7,eggplant,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3220,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1385,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3287,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1203,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,3
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2040,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,4
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1700,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,5
682b2fb8-3c11-47d5-b956-a146939e8c17,0,1097,real,bar,9,mushroom,corn,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,6
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1274,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,7
682b2fb8-3c11-47d5-b956-a146939e8c17,0,2044,real,bar,0,eggplant,corn,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,8
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2282,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,9
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2782,training,bar,13,olive,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2384,training,bar,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1952,training,bar,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2078,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2820,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2883,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,2
682b2fb8-3c11-47d5-b956-a146939e8c17,0,1534,real,bar,7,corn,mushroom,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,3
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2108,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,4
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2210,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,5
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1773,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,6
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1743,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,7
682b2fb8-3c11-47d5-b956-a146939e8c17,0,2235,real,bar,5,olive,celery,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,8
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3859,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,9
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2957,training,bar,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2540,training,bar,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,2793,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3432,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,0
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1114,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,1
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3242,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,2
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3037,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,3
682b2fb8-3c11-47d5-b956-a146939e8c17,1,1833,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,4
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3139,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,5
682b2fb8-3c11-47d5-b956-a146939e8c17,1,3020,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,6
