participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
686fc680-115e-457d-90c1-bbced48ac88a,1,3749,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
686fc680-115e-457d-90c1-bbced48ac88a,1,2743,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
686fc680-115e-457d-90c1-bbced48ac88a,1,2462,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
686fc680-115e-457d-90c1-bbced48ac88a,1,4432,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
686fc680-115e-457d-90c1-bbced48ac88a,1,1991,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
686fc680-115e-457d-90c1-bbced48ac88a,1,2153,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
686fc680-115e-457d-90c1-bbced48ac88a,1,3200,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
686fc680-115e-457d-90c1-bbced48ac88a,1,3717,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
686fc680-115e-457d-90c1-bbced48ac88a,1,2106,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
686fc680-115e-457d-90c1-bbced48ac88a,1,2464,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
686fc680-115e-457d-90c1-bbced48ac88a,1,3037,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
686fc680-115e-457d-90c1-bbced48ac88a,1,2438,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
686fc680-115e-457d-90c1-bbced48ac88a,1,4257,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
686fc680-115e-457d-90c1-bbced48ac88a,1,2472,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
686fc680-115e-457d-90c1-bbced48ac88a,1,2743,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
686fc680-115e-457d-90c1-bbced48ac88a,1,3112,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
686fc680-115e-457d-90c1-bbced48ac88a,1,2984,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
686fc680-115e-457d-90c1-bbced48ac88a,0,2218,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
686fc680-115e-457d-90c1-bbced48ac88a,1,4144,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
686fc680-115e-457d-90c1-bbced48ac88a,1,2508,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
686fc680-115e-457d-90c1-bbced48ac88a,1,2633,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
686fc680-115e-457d-90c1-bbced48ac88a,1,2997,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
686fc680-115e-457d-90c1-bbced48ac88a,1,2760,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
686fc680-115e-457d-90c1-bbced48ac88a,1,2918,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
686fc680-115e-457d-90c1-bbced48ac88a,1,4236,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
686fc680-115e-457d-90c1-bbced48ac88a,1,2120,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
686fc680-115e-457d-90c1-bbced48ac88a,1,3178,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
686fc680-115e-457d-90c1-bbced48ac88a,0,1960,training,pie,22,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
686fc680-115e-457d-90c1-bbced48ac88a,1,1710,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
686fc680-115e-457d-90c1-bbced48ac88a,1,3616,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
686fc680-115e-457d-90c1-bbced48ac88a,1,3392,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,1
686fc680-115e-457d-90c1-bbced48ac88a,1,2985,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,2
686fc680-115e-457d-90c1-bbced48ac88a,1,1528,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,3
686fc680-115e-457d-90c1-bbced48ac88a,1,1639,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,4
686fc680-115e-457d-90c1-bbced48ac88a,1,4575,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,5
686fc680-115e-457d-90c1-bbced48ac88a,1,3049,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,6
686fc680-115e-457d-90c1-bbced48ac88a,1,2391,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,7
686fc680-115e-457d-90c1-bbced48ac88a,1,1990,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,8
686fc680-115e-457d-90c1-bbced48ac88a,1,1992,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",2,geo,9
686fc680-115e-457d-90c1-bbced48ac88a,1,3546,training,pie,0,carrot,corn,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
686fc680-115e-457d-90c1-bbced48ac88a,1,2127,training,pie,16,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
686fc680-115e-457d-90c1-bbced48ac88a,1,1816,training,pie,16,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
686fc680-115e-457d-90c1-bbced48ac88a,1,2345,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
686fc680-115e-457d-90c1-bbced48ac88a,1,3008,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
686fc680-115e-457d-90c1-bbced48ac88a,1,3431,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
686fc680-115e-457d-90c1-bbced48ac88a,1,1400,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,3
686fc680-115e-457d-90c1-bbced48ac88a,1,2018,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,4
686fc680-115e-457d-90c1-bbced48ac88a,1,1888,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,5
686fc680-115e-457d-90c1-bbced48ac88a,1,3568,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,6
686fc680-115e-457d-90c1-bbced48ac88a,1,3574,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,7
686fc680-115e-457d-90c1-bbced48ac88a,1,1272,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,8
686fc680-115e-457d-90c1-bbced48ac88a,1,3090,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,9
686fc680-115e-457d-90c1-bbced48ac88a,1,4430,training,pie,23,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
686fc680-115e-457d-90c1-bbced48ac88a,1,2927,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,1
686fc680-115e-457d-90c1-bbced48ac88a,1,4017,training,pie,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
686fc680-115e-457d-90c1-bbced48ac88a,1,2961,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
