participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
75b9d19d-0624-4b83-8dfc-b160248c7744,1,1834,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
75b9d19d-0624-4b83-8dfc-b160248c7744,1,1947,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
75b9d19d-0624-4b83-8dfc-b160248c7744,1,2023,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
75b9d19d-0624-4b83-8dfc-b160248c7744,1,1348,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
75b9d19d-0624-4b83-8dfc-b160248c7744,1,2409,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
75b9d19d-0624-4b83-8dfc-b160248c7744,1,4394,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
75b9d19d-0624-4b83-8dfc-b160248c7744,1,2253,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
75b9d19d-0624-4b83-8dfc-b160248c7744,1,1438,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
75b9d19d-0624-4b83-8dfc-b160248c7744,0,1491,real,bar,5,olive,celery,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
75b9d19d-0624-4b83-8dfc-b160248c7744,1,1939,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
