participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,3907,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,-1,5000,training,pie,7,celery,eggplant,eggplant,none,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,2257,training,pie,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,3087,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,2448,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,2906,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,3659,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,1597,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,3609,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
77c446b1-e93e-4d4a-9b0b-3ead21e08f18,1,3361,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
