participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,4265,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
7cd0ded7-a8f9-446a-a91c-a17121dc725c,-1,5000,training,bar,8,olive,eggplant,eggplant,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,2335,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
7cd0ded7-a8f9-446a-a91c-a17121dc725c,0,2022,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,2225,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,1313,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,1238,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,1773,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,1552,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,2397,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,2880,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,2034,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
7cd0ded7-a8f9-446a-a91c-a17121dc725c,0,2248,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
7cd0ded7-a8f9-446a-a91c-a17121dc725c,0,4318,training,bar,5,olive,carrot,olive,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,1685,training,bar,14,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,2240,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,1857,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,1408,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
7cd0ded7-a8f9-446a-a91c-a17121dc725c,0,2202,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
7cd0ded7-a8f9-446a-a91c-a17121dc725c,1,3642,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,3
