participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
83fb42db-2267-4b24-9b69-abb77380994e,1,2106,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
83fb42db-2267-4b24-9b69-abb77380994e,0,14,training,bar,13,olive,carrot,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
83fb42db-2267-4b24-9b69-abb77380994e,0,3327,training,bar,24,celery,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
83fb42db-2267-4b24-9b69-abb77380994e,-1,5000,real,bar,5,olive,celery,olive,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
83fb42db-2267-4b24-9b69-abb77380994e,1,2216,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
83fb42db-2267-4b24-9b69-abb77380994e,1,2196,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
83fb42db-2267-4b24-9b69-abb77380994e,1,2788,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
83fb42db-2267-4b24-9b69-abb77380994e,1,2979,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
83fb42db-2267-4b24-9b69-abb77380994e,1,2314,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
83fb42db-2267-4b24-9b69-abb77380994e,1,2144,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
83fb42db-2267-4b24-9b69-abb77380994e,0,2812,real,bar,1,corn,tomato,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
83fb42db-2267-4b24-9b69-abb77380994e,1,2077,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
83fb42db-2267-4b24-9b69-abb77380994e,1,4929,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
83fb42db-2267-4b24-9b69-abb77380994e,1,1991,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
83fb42db-2267-4b24-9b69-abb77380994e,1,4133,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
83fb42db-2267-4b24-9b69-abb77380994e,1,3636,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
83fb42db-2267-4b24-9b69-abb77380994e,1,2613,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
83fb42db-2267-4b24-9b69-abb77380994e,1,4167,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
83fb42db-2267-4b24-9b69-abb77380994e,1,3872,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
83fb42db-2267-4b24-9b69-abb77380994e,1,3660,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
83fb42db-2267-4b24-9b69-abb77380994e,1,1268,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
83fb42db-2267-4b24-9b69-abb77380994e,1,3642,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
83fb42db-2267-4b24-9b69-abb77380994e,1,2747,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
83fb42db-2267-4b24-9b69-abb77380994e,1,2485,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
83fb42db-2267-4b24-9b69-abb77380994e,0,2167,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
83fb42db-2267-4b24-9b69-abb77380994e,1,2611,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
83fb42db-2267-4b24-9b69-abb77380994e,1,1782,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
83fb42db-2267-4b24-9b69-abb77380994e,1,2927,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
83fb42db-2267-4b24-9b69-abb77380994e,1,2706,training,bar,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
83fb42db-2267-4b24-9b69-abb77380994e,1,2579,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
83fb42db-2267-4b24-9b69-abb77380994e,1,1951,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
83fb42db-2267-4b24-9b69-abb77380994e,1,1796,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
83fb42db-2267-4b24-9b69-abb77380994e,1,1750,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,3
83fb42db-2267-4b24-9b69-abb77380994e,1,1951,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
83fb42db-2267-4b24-9b69-abb77380994e,1,2524,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,5
83fb42db-2267-4b24-9b69-abb77380994e,1,3060,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,6
83fb42db-2267-4b24-9b69-abb77380994e,1,1152,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,7
83fb42db-2267-4b24-9b69-abb77380994e,1,939,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,8
83fb42db-2267-4b24-9b69-abb77380994e,1,2044,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,9
83fb42db-2267-4b24-9b69-abb77380994e,0,1538,training,bar,28,mushroom,celery,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
83fb42db-2267-4b24-9b69-abb77380994e,1,1803,training,bar,0,corn,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
83fb42db-2267-4b24-9b69-abb77380994e,1,3414,training,bar,18,corn,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
83fb42db-2267-4b24-9b69-abb77380994e,1,3012,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
83fb42db-2267-4b24-9b69-abb77380994e,1,2248,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
83fb42db-2267-4b24-9b69-abb77380994e,1,2806,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
83fb42db-2267-4b24-9b69-abb77380994e,1,2001,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,3
83fb42db-2267-4b24-9b69-abb77380994e,1,2424,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,4
83fb42db-2267-4b24-9b69-abb77380994e,1,2965,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,5
83fb42db-2267-4b24-9b69-abb77380994e,1,2172,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,6
83fb42db-2267-4b24-9b69-abb77380994e,1,1960,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,7
83fb42db-2267-4b24-9b69-abb77380994e,1,3199,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,8
83fb42db-2267-4b24-9b69-abb77380994e,1,2004,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,9
83fb42db-2267-4b24-9b69-abb77380994e,1,2309,training,bar,24,celery,mushroom,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
83fb42db-2267-4b24-9b69-abb77380994e,1,1766,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,1
83fb42db-2267-4b24-9b69-abb77380994e,1,1960,training,bar,10,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
83fb42db-2267-4b24-9b69-abb77380994e,0,1830,real,bar,5,olive,celery,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
83fb42db-2267-4b24-9b69-abb77380994e,1,2648,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,1
83fb42db-2267-4b24-9b69-abb77380994e,1,1534,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
83fb42db-2267-4b24-9b69-abb77380994e,1,3361,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,3
83fb42db-2267-4b24-9b69-abb77380994e,1,1872,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,4
83fb42db-2267-4b24-9b69-abb77380994e,1,2495,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,5
83fb42db-2267-4b24-9b69-abb77380994e,1,2406,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,6
83fb42db-2267-4b24-9b69-abb77380994e,1,3154,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,7
83fb42db-2267-4b24-9b69-abb77380994e,1,2958,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,8
83fb42db-2267-4b24-9b69-abb77380994e,1,1572,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,9
83fb42db-2267-4b24-9b69-abb77380994e,1,3737,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,0
83fb42db-2267-4b24-9b69-abb77380994e,1,1446,training,bar,26,mushroom,olive,olive,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,1
83fb42db-2267-4b24-9b69-abb77380994e,1,1574,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,2
83fb42db-2267-4b24-9b69-abb77380994e,0,1772,real,bar,5,olive,celery,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,0
83fb42db-2267-4b24-9b69-abb77380994e,1,2756,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,1
83fb42db-2267-4b24-9b69-abb77380994e,1,1448,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,2
83fb42db-2267-4b24-9b69-abb77380994e,1,1645,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,3
83fb42db-2267-4b24-9b69-abb77380994e,1,1612,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,4
83fb42db-2267-4b24-9b69-abb77380994e,1,1915,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,5
83fb42db-2267-4b24-9b69-abb77380994e,1,2955,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,6
83fb42db-2267-4b24-9b69-abb77380994e,1,1802,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,7
83fb42db-2267-4b24-9b69-abb77380994e,1,2947,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",2,icon,8
83fb42db-2267-4b24-9b69-abb77380994e,1,1332,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",2,icon,9
