participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
84d9afc5-0435-473e-aa65-14a4c43e031a,-1,5000,training,bar,24,celery,mushroom,celery,none,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
84d9afc5-0435-473e-aa65-14a4c43e031a,1,3784,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2592,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2575,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2663,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
84d9afc5-0435-473e-aa65-14a4c43e031a,0,3106,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
84d9afc5-0435-473e-aa65-14a4c43e031a,1,3737,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2985,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
84d9afc5-0435-473e-aa65-14a4c43e031a,1,3793,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
84d9afc5-0435-473e-aa65-14a4c43e031a,1,3151,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
84d9afc5-0435-473e-aa65-14a4c43e031a,1,3521,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2634,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1566,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1672,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1816,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1895,training,bar,4,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2024,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1999,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1976,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1863,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,3
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2215,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,4
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2983,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,5
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1824,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,6
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1865,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,7
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1209,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,8
84d9afc5-0435-473e-aa65-14a4c43e031a,1,1712,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,9
84d9afc5-0435-473e-aa65-14a4c43e031a,0,3696,training,bar,0,corn,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,0
84d9afc5-0435-473e-aa65-14a4c43e031a,1,2576,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,1
84d9afc5-0435-473e-aa65-14a4c43e031a,1,3089,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,2
