participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,3573,training,pie,11,carrot,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,-1,5000,training,pie,22,mushroom,corn,corn,none,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,-1,5000,training,pie,4,carrot,celery,celery,none,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,3536,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,2869,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,3262,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,2359,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,2479,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,3009,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,3123,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,3034,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,3103,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,2100,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,2711,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
881cbb8c-c0a5-43ae-81dc-42d181fe5f0a,1,2121,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
