participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
90dcd226-0def-4f56-8dba-fc8d639a5402,1,1230,training,pie,3,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
90dcd226-0def-4f56-8dba-fc8d639a5402,1,3921,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
90dcd226-0def-4f56-8dba-fc8d639a5402,-1,5000,training,pie,28,celery,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
90dcd226-0def-4f56-8dba-fc8d639a5402,1,2764,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
90dcd226-0def-4f56-8dba-fc8d639a5402,0,3400,real,pie,4,carrot,mushroom,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
90dcd226-0def-4f56-8dba-fc8d639a5402,1,2534,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
90dcd226-0def-4f56-8dba-fc8d639a5402,1,1897,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
90dcd226-0def-4f56-8dba-fc8d639a5402,1,3093,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
90dcd226-0def-4f56-8dba-fc8d639a5402,1,3588,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
90dcd226-0def-4f56-8dba-fc8d639a5402,1,2649,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
90dcd226-0def-4f56-8dba-fc8d639a5402,1,2822,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
90dcd226-0def-4f56-8dba-fc8d639a5402,1,2572,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
90dcd226-0def-4f56-8dba-fc8d639a5402,1,1709,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
90dcd226-0def-4f56-8dba-fc8d639a5402,1,2170,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
90dcd226-0def-4f56-8dba-fc8d639a5402,0,3733,training,pie,17,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
90dcd226-0def-4f56-8dba-fc8d639a5402,1,1994,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
90dcd226-0def-4f56-8dba-fc8d639a5402,1,3415,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
90dcd226-0def-4f56-8dba-fc8d639a5402,1,3022,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
90dcd226-0def-4f56-8dba-fc8d639a5402,1,3080,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
90dcd226-0def-4f56-8dba-fc8d639a5402,1,3240,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
90dcd226-0def-4f56-8dba-fc8d639a5402,1,4994,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
