participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2224,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2199,training,bar,11,tomato,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2921,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,3416,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,3144,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2583,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,3918,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,3113,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2289,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2584,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,1641,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,0,1985,real,bar,8,celery,corn,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,8
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2688,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,9
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2552,training,bar,24,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,-1,5000,training,bar,7,eggplant,celery,eggplant,none,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,1567,training,bar,17,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2544,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2528,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2592,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
9405acc5-0dbb-40be-ba00-5ec6ef7dd4e3,1,2688,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,3
