participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,-1,5000,training,pie,2,mushroom,tomato,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,3174,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,3592,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,0,2061,real,pie,1,tomato,corn,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,3447,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,2982,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,3142,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,2719,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,0,3573,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,3704,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
94ca4ad1-52da-4061-aa31-042fc8ce5ae0,1,3217,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
