participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
96f993c9-e338-4a07-b1cf-8592327966dc,1,4208,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,3048,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,3415,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,3424,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,3153,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,4864,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,3401,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
96f993c9-e338-4a07-b1cf-8592327966dc,1,3456,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
96f993c9-e338-4a07-b1cf-8592327966dc,1,3129,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
96f993c9-e338-4a07-b1cf-8592327966dc,1,2455,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
96f993c9-e338-4a07-b1cf-8592327966dc,-1,5000,real,pie,9,corn,mushroom,corn,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7,
96f993c9-e338-4a07-b1cf-8592327966dc,1,1784,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
96f993c9-e338-4a07-b1cf-8592327966dc,1,1800,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
96f993c9-e338-4a07-b1cf-8592327966dc,1,2239,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
96f993c9-e338-4a07-b1cf-8592327966dc,0,2480,training,pie,1,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,2703,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,2871,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,2135,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,1417,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
96f993c9-e338-4a07-b1cf-8592327966dc,0,2752,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
96f993c9-e338-4a07-b1cf-8592327966dc,1,2007,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
96f993c9-e338-4a07-b1cf-8592327966dc,1,1984,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
96f993c9-e338-4a07-b1cf-8592327966dc,1,3201,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
96f993c9-e338-4a07-b1cf-8592327966dc,1,2017,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
96f993c9-e338-4a07-b1cf-8592327966dc,1,2064,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
96f993c9-e338-4a07-b1cf-8592327966dc,1,1824,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
96f993c9-e338-4a07-b1cf-8592327966dc,1,4080,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,2872,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,2976,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,2912,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,2488,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,2807,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,3671,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,3
96f993c9-e338-4a07-b1cf-8592327966dc,1,2992,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
96f993c9-e338-4a07-b1cf-8592327966dc,1,3135,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,5
96f993c9-e338-4a07-b1cf-8592327966dc,1,2367,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,6
96f993c9-e338-4a07-b1cf-8592327966dc,1,3865,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,7
96f993c9-e338-4a07-b1cf-8592327966dc,1,2823,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,8
96f993c9-e338-4a07-b1cf-8592327966dc,1,2569,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,9
96f993c9-e338-4a07-b1cf-8592327966dc,1,2079,training,pie,12,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,4937,training,pie,16,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,1
96f993c9-e338-4a07-b1cf-8592327966dc,0,2720,training,pie,6,celery,mushroom,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,3672,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,3151,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,1
96f993c9-e338-4a07-b1cf-8592327966dc,0,3672,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,4937,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,3
96f993c9-e338-4a07-b1cf-8592327966dc,1,3009,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,4
96f993c9-e338-4a07-b1cf-8592327966dc,1,2343,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,5
96f993c9-e338-4a07-b1cf-8592327966dc,1,3024,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,6
96f993c9-e338-4a07-b1cf-8592327966dc,1,2959,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,7
96f993c9-e338-4a07-b1cf-8592327966dc,1,4592,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,8
96f993c9-e338-4a07-b1cf-8592327966dc,1,2704,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,9
96f993c9-e338-4a07-b1cf-8592327966dc,1,3008,training,pie,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,1792,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,2896,training,pie,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,3152,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,3960,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,3817,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,3200,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,3
96f993c9-e338-4a07-b1cf-8592327966dc,1,2111,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,4
96f993c9-e338-4a07-b1cf-8592327966dc,1,2352,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,5
96f993c9-e338-4a07-b1cf-8592327966dc,1,4264,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,6
96f993c9-e338-4a07-b1cf-8592327966dc,1,2032,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,7
96f993c9-e338-4a07-b1cf-8592327966dc,1,2336,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,8
96f993c9-e338-4a07-b1cf-8592327966dc,1,2816,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,9
96f993c9-e338-4a07-b1cf-8592327966dc,1,3567,training,pie,18,eggplant,corn,eggplant,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",2,geo,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,2488,training,pie,23,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",2,geo,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,2000,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",2,geo,2
96f993c9-e338-4a07-b1cf-8592327966dc,1,2231,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",2,geo,0
96f993c9-e338-4a07-b1cf-8592327966dc,1,2176,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",2,geo,1
96f993c9-e338-4a07-b1cf-8592327966dc,1,2567,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",2,geo,2
96f993c9-e338-4a07-b1cf-8592327966dc,0,4007,real,pie,4,carrot,mushroom,carrot,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",2,geo,3
96f993c9-e338-4a07-b1cf-8592327966dc,1,3071,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",2,geo,4
