participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
9959a753-33cc-4c96-b083-889866a042c4,-1,5000,training,pie,24,mushroom,celery,celery,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
9959a753-33cc-4c96-b083-889866a042c4,1,3660,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
9959a753-33cc-4c96-b083-889866a042c4,1,2975,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
9959a753-33cc-4c96-b083-889866a042c4,1,2469,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
9959a753-33cc-4c96-b083-889866a042c4,1,4336,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
9959a753-33cc-4c96-b083-889866a042c4,1,2841,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
9959a753-33cc-4c96-b083-889866a042c4,1,3177,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
9959a753-33cc-4c96-b083-889866a042c4,1,3576,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
9959a753-33cc-4c96-b083-889866a042c4,1,3292,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
9959a753-33cc-4c96-b083-889866a042c4,1,4779,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
9959a753-33cc-4c96-b083-889866a042c4,1,3199,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
9959a753-33cc-4c96-b083-889866a042c4,1,2967,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
9959a753-33cc-4c96-b083-889866a042c4,1,3341,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
9959a753-33cc-4c96-b083-889866a042c4,1,3857,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
9959a753-33cc-4c96-b083-889866a042c4,1,4504,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
9959a753-33cc-4c96-b083-889866a042c4,1,3776,training,pie,3,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
9959a753-33cc-4c96-b083-889866a042c4,1,2709,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
9959a753-33cc-4c96-b083-889866a042c4,1,2532,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
9959a753-33cc-4c96-b083-889866a042c4,1,2763,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
9959a753-33cc-4c96-b083-889866a042c4,1,4705,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,3
9959a753-33cc-4c96-b083-889866a042c4,-1,5000,real,pie,7,mushroom,corn,corn,none,"more, fewer",0,MORE,"icon, color, geo",1,color,4
9959a753-33cc-4c96-b083-889866a042c4,1,2938,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,5
9959a753-33cc-4c96-b083-889866a042c4,1,3530,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,6
9959a753-33cc-4c96-b083-889866a042c4,1,2912,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,7
9959a753-33cc-4c96-b083-889866a042c4,1,3798,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,8
9959a753-33cc-4c96-b083-889866a042c4,0,3199,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,9
9959a753-33cc-4c96-b083-889866a042c4,1,4742,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
9959a753-33cc-4c96-b083-889866a042c4,1,4082,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
9959a753-33cc-4c96-b083-889866a042c4,1,4691,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
9959a753-33cc-4c96-b083-889866a042c4,1,3907,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
9959a753-33cc-4c96-b083-889866a042c4,1,2374,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
9959a753-33cc-4c96-b083-889866a042c4,1,3655,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
9959a753-33cc-4c96-b083-889866a042c4,1,2187,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
9959a753-33cc-4c96-b083-889866a042c4,1,3715,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
9959a753-33cc-4c96-b083-889866a042c4,-1,5000,real,pie,4,carrot,mushroom,carrot,none,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
9959a753-33cc-4c96-b083-889866a042c4,1,2568,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
9959a753-33cc-4c96-b083-889866a042c4,1,3053,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
9959a753-33cc-4c96-b083-889866a042c4,1,2551,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,8
9959a753-33cc-4c96-b083-889866a042c4,1,2891,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,9
9959a753-33cc-4c96-b083-889866a042c4,-1,5000,training,pie,28,celery,mushroom,celery,none,"more, fewer",1,FEWER,"icon, color, geo",0,icon,0
9959a753-33cc-4c96-b083-889866a042c4,1,3638,training,pie,17,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,1
9959a753-33cc-4c96-b083-889866a042c4,1,3609,training,pie,18,eggplant,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,2
9959a753-33cc-4c96-b083-889866a042c4,1,3571,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,0
9959a753-33cc-4c96-b083-889866a042c4,-1,5000,real,pie,9,corn,mushroom,corn,none,"more, fewer",1,FEWER,"icon, color, geo",0,icon,1
9959a753-33cc-4c96-b083-889866a042c4,1,4583,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,2
9959a753-33cc-4c96-b083-889866a042c4,1,2168,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,3
9959a753-33cc-4c96-b083-889866a042c4,1,3587,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,4
9959a753-33cc-4c96-b083-889866a042c4,1,4145,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,5
9959a753-33cc-4c96-b083-889866a042c4,1,2836,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,6
9959a753-33cc-4c96-b083-889866a042c4,1,3925,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",0,icon,7
9959a753-33cc-4c96-b083-889866a042c4,1,1754,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,8
9959a753-33cc-4c96-b083-889866a042c4,1,3448,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",0,icon,9
9959a753-33cc-4c96-b083-889866a042c4,1,1950,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,0
9959a753-33cc-4c96-b083-889866a042c4,1,3148,training,pie,16,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,1
9959a753-33cc-4c96-b083-889866a042c4,1,4612,training,pie,0,carrot,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,2
9959a753-33cc-4c96-b083-889866a042c4,1,3843,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,0
9959a753-33cc-4c96-b083-889866a042c4,1,2679,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,1
9959a753-33cc-4c96-b083-889866a042c4,1,2531,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,2
9959a753-33cc-4c96-b083-889866a042c4,1,2298,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,3
9959a753-33cc-4c96-b083-889866a042c4,1,3786,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,4
9959a753-33cc-4c96-b083-889866a042c4,1,2741,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,5
9959a753-33cc-4c96-b083-889866a042c4,1,2720,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,6
9959a753-33cc-4c96-b083-889866a042c4,1,2634,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",1,color,7
9959a753-33cc-4c96-b083-889866a042c4,1,2439,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,8
9959a753-33cc-4c96-b083-889866a042c4,1,3378,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",1,color,9
9959a753-33cc-4c96-b083-889866a042c4,1,3340,training,pie,23,olive,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,0
9959a753-33cc-4c96-b083-889866a042c4,1,2694,training,pie,7,celery,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,1
9959a753-33cc-4c96-b083-889866a042c4,1,4109,training,pie,21,eggplant,mushroom,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,2
9959a753-33cc-4c96-b083-889866a042c4,1,3763,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,0
9959a753-33cc-4c96-b083-889866a042c4,1,2266,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,1
9959a753-33cc-4c96-b083-889866a042c4,1,3806,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,2
9959a753-33cc-4c96-b083-889866a042c4,1,2472,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,3
9959a753-33cc-4c96-b083-889866a042c4,1,3291,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,4
9959a753-33cc-4c96-b083-889866a042c4,1,3759,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,5
9959a753-33cc-4c96-b083-889866a042c4,1,3250,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"icon, color, geo",2,geo,6
9959a753-33cc-4c96-b083-889866a042c4,1,3633,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,7
9959a753-33cc-4c96-b083-889866a042c4,1,2246,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,8
9959a753-33cc-4c96-b083-889866a042c4,1,3491,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"icon, color, geo",2,geo,9
