participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,2736,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,2265,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,4764,training,bar,21,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,3014,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,1512,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,1197,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,2526,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,3599,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,4756,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,2978,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,4917,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
9f516ed9-5aa5-4134-908b-f51b01b26e13,1,2886,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
