participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
a44fd55b-e5b4-45f1-b764-b7027bea3ade,-1,5000,training,bar,20,eggplant,tomato,tomato,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,4866,training,bar,4,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,3474,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,3274,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2666,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2774,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,1634,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2306,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,1786,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2674,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,1994,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,4973,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2378,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
a44fd55b-e5b4-45f1-b764-b7027bea3ade,-1,5000,training,bar,20,eggplant,tomato,tomato,none,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,1874,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,3626,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2450,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,3306,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,1586,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2338,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,3058,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2202,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,3010,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2873,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,7
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,3138,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,8
a44fd55b-e5b4-45f1-b764-b7027bea3ade,1,2658,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,9
a44fd55b-e5b4-45f1-b764-b7027bea3ade,0,3193,training,bar,2,tomato,mushroom,tomato,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,0
a44fd55b-e5b4-45f1-b764-b7027bea3ade,0,3065,training,bar,6,celery,mushroom,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
