participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,3012,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,2342,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,1297,training,bar,21,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,1448,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,2214,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,2434,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,1984,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,2306,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,1421,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,3167,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
a78c502f-57d2-4640-a6aa-508c7d73b03b,1,2989,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
