participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
adf78906-5616-4f90-8190-35d65a044616,-1,5000,training,bar,7,eggplant,celery,celery,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
adf78906-5616-4f90-8190-35d65a044616,-1,5000,training,bar,6,celery,mushroom,celery,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
adf78906-5616-4f90-8190-35d65a044616,1,3583,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
adf78906-5616-4f90-8190-35d65a044616,1,2248,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
adf78906-5616-4f90-8190-35d65a044616,1,4065,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
adf78906-5616-4f90-8190-35d65a044616,1,1912,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
adf78906-5616-4f90-8190-35d65a044616,1,3746,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
adf78906-5616-4f90-8190-35d65a044616,1,3681,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
adf78906-5616-4f90-8190-35d65a044616,1,1779,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
adf78906-5616-4f90-8190-35d65a044616,1,3655,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
adf78906-5616-4f90-8190-35d65a044616,1,2148,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
adf78906-5616-4f90-8190-35d65a044616,-1,5000,real,bar,5,olive,celery,celery,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
adf78906-5616-4f90-8190-35d65a044616,1,2805,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
adf78906-5616-4f90-8190-35d65a044616,1,3097,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
adf78906-5616-4f90-8190-35d65a044616,1,4292,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
adf78906-5616-4f90-8190-35d65a044616,1,1700,training,bar,2,tomato,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
adf78906-5616-4f90-8190-35d65a044616,1,3221,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
adf78906-5616-4f90-8190-35d65a044616,1,2502,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
adf78906-5616-4f90-8190-35d65a044616,1,1972,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
adf78906-5616-4f90-8190-35d65a044616,1,1134,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
