participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
b10b651f-00df-41f3-8c06-2050e2479374,-1,5000,training,bar,25,corn,eggplant,corn,none,"more, fewer",0,MORE,"color, icon, geo",0,color,0
b10b651f-00df-41f3-8c06-2050e2479374,1,1912,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
b10b651f-00df-41f3-8c06-2050e2479374,1,1584,training,bar,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
b10b651f-00df-41f3-8c06-2050e2479374,0,3004,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
b10b651f-00df-41f3-8c06-2050e2479374,1,2579,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
b10b651f-00df-41f3-8c06-2050e2479374,1,1821,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
b10b651f-00df-41f3-8c06-2050e2479374,1,3308,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,3
b10b651f-00df-41f3-8c06-2050e2479374,0,2765,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,4
b10b651f-00df-41f3-8c06-2050e2479374,1,1680,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,5
b10b651f-00df-41f3-8c06-2050e2479374,1,2709,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,6
b10b651f-00df-41f3-8c06-2050e2479374,0,3897,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,7
b10b651f-00df-41f3-8c06-2050e2479374,1,2185,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
b10b651f-00df-41f3-8c06-2050e2479374,0,3991,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,9
b10b651f-00df-41f3-8c06-2050e2479374,0,3439,training,bar,26,mushroom,olive,olive,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
b10b651f-00df-41f3-8c06-2050e2479374,0,3840,training,bar,12,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
b10b651f-00df-41f3-8c06-2050e2479374,0,4975,training,bar,3,carrot,celery,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
b10b651f-00df-41f3-8c06-2050e2479374,1,3305,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
b10b651f-00df-41f3-8c06-2050e2479374,0,3609,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
b10b651f-00df-41f3-8c06-2050e2479374,1,2509,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
b10b651f-00df-41f3-8c06-2050e2479374,1,2290,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
b10b651f-00df-41f3-8c06-2050e2479374,1,3766,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
b10b651f-00df-41f3-8c06-2050e2479374,1,2917,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
b10b651f-00df-41f3-8c06-2050e2479374,0,3193,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
b10b651f-00df-41f3-8c06-2050e2479374,1,3355,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
b10b651f-00df-41f3-8c06-2050e2479374,1,2068,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
b10b651f-00df-41f3-8c06-2050e2479374,1,2580,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
b10b651f-00df-41f3-8c06-2050e2479374,1,2594,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
b10b651f-00df-41f3-8c06-2050e2479374,1,3733,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
b10b651f-00df-41f3-8c06-2050e2479374,0,4046,training,bar,16,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
b10b651f-00df-41f3-8c06-2050e2479374,1,3242,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
b10b651f-00df-41f3-8c06-2050e2479374,1,1991,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
b10b651f-00df-41f3-8c06-2050e2479374,1,2121,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
b10b651f-00df-41f3-8c06-2050e2479374,1,3748,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
b10b651f-00df-41f3-8c06-2050e2479374,1,3216,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
b10b651f-00df-41f3-8c06-2050e2479374,1,3120,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
b10b651f-00df-41f3-8c06-2050e2479374,1,3629,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
b10b651f-00df-41f3-8c06-2050e2479374,1,1738,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
b10b651f-00df-41f3-8c06-2050e2479374,0,1592,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
b10b651f-00df-41f3-8c06-2050e2479374,1,2860,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
b10b651f-00df-41f3-8c06-2050e2479374,1,4495,training,bar,1,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
b10b651f-00df-41f3-8c06-2050e2479374,1,4310,training,bar,5,olive,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
b10b651f-00df-41f3-8c06-2050e2479374,1,2540,training,bar,6,celery,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
b10b651f-00df-41f3-8c06-2050e2479374,1,2882,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
b10b651f-00df-41f3-8c06-2050e2479374,1,1967,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
b10b651f-00df-41f3-8c06-2050e2479374,1,3183,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
b10b651f-00df-41f3-8c06-2050e2479374,1,2435,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,3
b10b651f-00df-41f3-8c06-2050e2479374,1,2346,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,4
b10b651f-00df-41f3-8c06-2050e2479374,1,3877,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,5
b10b651f-00df-41f3-8c06-2050e2479374,1,2597,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,6
b10b651f-00df-41f3-8c06-2050e2479374,1,3195,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,7
b10b651f-00df-41f3-8c06-2050e2479374,1,2924,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,8
b10b651f-00df-41f3-8c06-2050e2479374,1,3182,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,9
b10b651f-00df-41f3-8c06-2050e2479374,1,1872,training,bar,12,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
b10b651f-00df-41f3-8c06-2050e2479374,1,1756,training,bar,16,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
b10b651f-00df-41f3-8c06-2050e2479374,0,2288,training,bar,5,olive,carrot,carrot,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
b10b651f-00df-41f3-8c06-2050e2479374,1,3426,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
b10b651f-00df-41f3-8c06-2050e2479374,1,1454,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
b10b651f-00df-41f3-8c06-2050e2479374,1,1648,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
b10b651f-00df-41f3-8c06-2050e2479374,1,3870,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,3
b10b651f-00df-41f3-8c06-2050e2479374,1,1346,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,4
b10b651f-00df-41f3-8c06-2050e2479374,1,1854,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,5
b10b651f-00df-41f3-8c06-2050e2479374,1,1854,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,6
b10b651f-00df-41f3-8c06-2050e2479374,0,2135,real,bar,3,corn,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,7
b10b651f-00df-41f3-8c06-2050e2479374,1,2283,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,8
b10b651f-00df-41f3-8c06-2050e2479374,1,1085,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,9
b10b651f-00df-41f3-8c06-2050e2479374,-1,5000,training,bar,1,corn,mushroom,corn,none,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
b10b651f-00df-41f3-8c06-2050e2479374,1,1613,training,bar,28,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,1
b10b651f-00df-41f3-8c06-2050e2479374,0,2343,training,bar,5,olive,carrot,carrot,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,2
b10b651f-00df-41f3-8c06-2050e2479374,1,1751,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
b10b651f-00df-41f3-8c06-2050e2479374,1,1643,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,1
b10b651f-00df-41f3-8c06-2050e2479374,1,1683,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,2
b10b651f-00df-41f3-8c06-2050e2479374,1,1671,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,3
b10b651f-00df-41f3-8c06-2050e2479374,1,2857,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,4
b10b651f-00df-41f3-8c06-2050e2479374,0,3036,real,bar,8,celery,corn,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,5
b10b651f-00df-41f3-8c06-2050e2479374,1,1543,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,6
b10b651f-00df-41f3-8c06-2050e2479374,0,2559,real,bar,5,olive,celery,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,7
b10b651f-00df-41f3-8c06-2050e2479374,1,2504,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,8
b10b651f-00df-41f3-8c06-2050e2479374,1,1441,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,9
