participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
b5288ccb-df8d-4255-803d-ff2e98c96add,1,3071,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
b5288ccb-df8d-4255-803d-ff2e98c96add,-1,5000,training,bar,2,tomato,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2316,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
b5288ccb-df8d-4255-803d-ff2e98c96add,1,835,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1608,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1224,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
b5288ccb-df8d-4255-803d-ff2e98c96add,0,895,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1261,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
b5288ccb-df8d-4255-803d-ff2e98c96add,0,2086,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2612,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1898,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2072,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
b5288ccb-df8d-4255-803d-ff2e98c96add,1,799,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2873,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2715,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,3096,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,2
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2427,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
b5288ccb-df8d-4255-803d-ff2e98c96add,0,2563,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
b5288ccb-df8d-4255-803d-ff2e98c96add,0,1740,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,2
b5288ccb-df8d-4255-803d-ff2e98c96add,0,1299,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,3
b5288ccb-df8d-4255-803d-ff2e98c96add,0,654,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,4
b5288ccb-df8d-4255-803d-ff2e98c96add,1,886,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,5
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1316,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,6
b5288ccb-df8d-4255-803d-ff2e98c96add,1,754,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,7
b5288ccb-df8d-4255-803d-ff2e98c96add,0,531,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,8
b5288ccb-df8d-4255-803d-ff2e98c96add,1,952,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,9
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1230,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
b5288ccb-df8d-4255-803d-ff2e98c96add,1,857,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1015,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1805,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
b5288ccb-df8d-4255-803d-ff2e98c96add,0,2087,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
b5288ccb-df8d-4255-803d-ff2e98c96add,0,1856,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2150,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,3
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2894,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,4
b5288ccb-df8d-4255-803d-ff2e98c96add,1,877,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,5
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1979,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,6
b5288ccb-df8d-4255-803d-ff2e98c96add,0,1103,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,7
b5288ccb-df8d-4255-803d-ff2e98c96add,1,983,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,8
b5288ccb-df8d-4255-803d-ff2e98c96add,0,1965,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,9
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1632,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
b5288ccb-df8d-4255-803d-ff2e98c96add,0,796,training,bar,6,celery,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,493,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
b5288ccb-df8d-4255-803d-ff2e98c96add,0,523,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
b5288ccb-df8d-4255-803d-ff2e98c96add,1,812,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,775,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
b5288ccb-df8d-4255-803d-ff2e98c96add,1,536,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,3
b5288ccb-df8d-4255-803d-ff2e98c96add,0,642,real,bar,6,mushroom,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,4
b5288ccb-df8d-4255-803d-ff2e98c96add,0,583,real,bar,1,corn,tomato,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,5
b5288ccb-df8d-4255-803d-ff2e98c96add,0,618,real,bar,5,olive,celery,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,6
b5288ccb-df8d-4255-803d-ff2e98c96add,0,542,real,bar,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,7
b5288ccb-df8d-4255-803d-ff2e98c96add,0,407,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,8
b5288ccb-df8d-4255-803d-ff2e98c96add,1,486,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,9
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2028,training,bar,28,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1828,training,bar,13,olive,carrot,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,3039,training,bar,12,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1013,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1220,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1702,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
b5288ccb-df8d-4255-803d-ff2e98c96add,0,2630,real,bar,9,mushroom,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,3
b5288ccb-df8d-4255-803d-ff2e98c96add,1,1670,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,4
b5288ccb-df8d-4255-803d-ff2e98c96add,1,897,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,5
b5288ccb-df8d-4255-803d-ff2e98c96add,0,3601,real,bar,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,6
b5288ccb-df8d-4255-803d-ff2e98c96add,0,1746,real,bar,6,mushroom,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,7
b5288ccb-df8d-4255-803d-ff2e98c96add,0,525,real,bar,8,celery,corn,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,8
b5288ccb-df8d-4255-803d-ff2e98c96add,1,468,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,9
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2264,training,bar,4,celery,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
b5288ccb-df8d-4255-803d-ff2e98c96add,1,2548,training,bar,10,celery,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,1
b5288ccb-df8d-4255-803d-ff2e98c96add,0,2244,training,bar,28,mushroom,celery,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,2
b5288ccb-df8d-4255-803d-ff2e98c96add,1,3244,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
