participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,0,4555,training,bar,11,tomato,carrot,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3203,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2550,training,bar,17,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,0,3895,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,4966,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2729,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3826,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3221,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3024,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3838,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,4195,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,-1,5000,real,bar,8,celery,corn,celery,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,4726,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3218,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3637,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1871,training,bar,2,tomato,mushroom,tomato,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2402,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3175,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1441,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3129,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2754,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2917,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2121,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2521,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,7
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1522,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,8
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2517,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,9
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2576,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,0,2164,training,bar,18,corn,eggplant,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2479,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2383,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1684,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2604,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2292,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,3
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1695,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,4
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1535,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,5
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2678,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,6
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2025,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,7
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2902,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,8
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3440,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,9
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2164,training,bar,14,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1667,training,bar,4,celery,carrot,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2396,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2270,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2437,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2286,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2464,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,3
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2128,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,4
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1567,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,5
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2076,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,6
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1615,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,7
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1487,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,8
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3516,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,9
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3040,training,bar,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2105,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,3047,training,bar,26,mushroom,olive,olive,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2117,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,0,3007,real,bar,5,olive,celery,celery,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,1
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1207,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2773,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,3
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,1908,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,4
b993fd5c-f9c0-4b38-a04c-a35c406a5f3e,1,2746,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,5
