participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,4120,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,3175,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2253,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2823,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2477,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,4630,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2412,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,3239,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2824,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2489,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,4472,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,3043,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,8
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,3382,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,9
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2440,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2213,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2639,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,1835,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2174,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,3302,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,1664,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,3
bcc9876e-1d81-414a-81fa-586bfb2134eb,0,1597,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,4
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2577,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,5
bcc9876e-1d81-414a-81fa-586bfb2134eb,1,2596,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,6
