participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,2732,training,bar,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,2312,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1146,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,2387,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1460,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1826,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,2344,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,3
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,2588,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1922,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,5
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1233,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1637,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,7
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1272,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
bd443b29-c89d-4eef-91c0-f6ac0bd9bdd2,1,1558,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
