participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
bf35bb70-ac48-408b-8a75-efe4589496c6,1,4255,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
bf35bb70-ac48-408b-8a75-efe4589496c6,0,3990,training,pie,9,eggplant,mushroom,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
bf35bb70-ac48-408b-8a75-efe4589496c6,1,2452,training,pie,18,eggplant,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
bf35bb70-ac48-408b-8a75-efe4589496c6,0,2508,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
bf35bb70-ac48-408b-8a75-efe4589496c6,1,4681,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
bf35bb70-ac48-408b-8a75-efe4589496c6,1,4084,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
bf35bb70-ac48-408b-8a75-efe4589496c6,1,4738,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
bf35bb70-ac48-408b-8a75-efe4589496c6,1,4331,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
bf35bb70-ac48-408b-8a75-efe4589496c6,1,2892,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
bf35bb70-ac48-408b-8a75-efe4589496c6,1,3958,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
bf35bb70-ac48-408b-8a75-efe4589496c6,1,3609,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
bf35bb70-ac48-408b-8a75-efe4589496c6,1,2912,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
bf35bb70-ac48-408b-8a75-efe4589496c6,1,2481,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
bf35bb70-ac48-408b-8a75-efe4589496c6,1,3802,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
bf35bb70-ac48-408b-8a75-efe4589496c6,-1,5000,training,pie,5,olive,carrot,carrot,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
