participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
c4c2f3d4-9627-47e2-8632-c675ee132500,-1,5000,training,pie,5,olive,carrot,olive,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
c4c2f3d4-9627-47e2-8632-c675ee132500,1,3367,training,pie,24,mushroom,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
c4c2f3d4-9627-47e2-8632-c675ee132500,1,4650,training,pie,11,carrot,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
c4c2f3d4-9627-47e2-8632-c675ee132500,1,2103,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
c4c2f3d4-9627-47e2-8632-c675ee132500,1,1837,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
c4c2f3d4-9627-47e2-8632-c675ee132500,1,2141,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
c4c2f3d4-9627-47e2-8632-c675ee132500,1,2584,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
c4c2f3d4-9627-47e2-8632-c675ee132500,1,1701,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
c4c2f3d4-9627-47e2-8632-c675ee132500,1,1906,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
c4c2f3d4-9627-47e2-8632-c675ee132500,1,1669,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
