participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
c6419031-056e-4292-9155-0348213c0cc6,1,2967,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
c6419031-056e-4292-9155-0348213c0cc6,1,1736,training,bar,14,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
c6419031-056e-4292-9155-0348213c0cc6,1,2960,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
c6419031-056e-4292-9155-0348213c0cc6,1,2504,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
c6419031-056e-4292-9155-0348213c0cc6,1,1528,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
c6419031-056e-4292-9155-0348213c0cc6,1,2480,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
c6419031-056e-4292-9155-0348213c0cc6,1,1840,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,3
c6419031-056e-4292-9155-0348213c0cc6,1,2287,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
c6419031-056e-4292-9155-0348213c0cc6,-1,5000,real,bar,1,corn,tomato,tomato,none,"more, fewer",0,MORE,"color, geo, icon",0,color,5
c6419031-056e-4292-9155-0348213c0cc6,1,2560,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
c6419031-056e-4292-9155-0348213c0cc6,0,2392,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
c6419031-056e-4292-9155-0348213c0cc6,1,2784,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,8
c6419031-056e-4292-9155-0348213c0cc6,1,1936,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
c6419031-056e-4292-9155-0348213c0cc6,1,2256,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
c6419031-056e-4292-9155-0348213c0cc6,1,3816,training,bar,21,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
c6419031-056e-4292-9155-0348213c0cc6,0,1552,training,bar,14,eggplant,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
c6419031-056e-4292-9155-0348213c0cc6,0,1480,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
c6419031-056e-4292-9155-0348213c0cc6,1,3648,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
