participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
c9ec04da-8d91-4184-9537-47339be652a9,1,3440,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
c9ec04da-8d91-4184-9537-47339be652a9,1,2836,training,bar,26,mushroom,olive,olive,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
c9ec04da-8d91-4184-9537-47339be652a9,1,2027,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
c9ec04da-8d91-4184-9537-47339be652a9,1,3128,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
c9ec04da-8d91-4184-9537-47339be652a9,1,1823,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
c9ec04da-8d91-4184-9537-47339be652a9,1,3309,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
c9ec04da-8d91-4184-9537-47339be652a9,1,2207,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
c9ec04da-8d91-4184-9537-47339be652a9,1,2735,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
c9ec04da-8d91-4184-9537-47339be652a9,1,3514,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
c9ec04da-8d91-4184-9537-47339be652a9,0,2407,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
c9ec04da-8d91-4184-9537-47339be652a9,1,1946,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
c9ec04da-8d91-4184-9537-47339be652a9,1,1972,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
c9ec04da-8d91-4184-9537-47339be652a9,1,2817,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
c9ec04da-8d91-4184-9537-47339be652a9,1,1978,training,bar,20,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
c9ec04da-8d91-4184-9537-47339be652a9,0,4176,training,bar,2,tomato,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
c9ec04da-8d91-4184-9537-47339be652a9,1,2647,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
c9ec04da-8d91-4184-9537-47339be652a9,-1,5000,real,bar,2,celery,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
c9ec04da-8d91-4184-9537-47339be652a9,1,1753,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
c9ec04da-8d91-4184-9537-47339be652a9,1,2102,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
c9ec04da-8d91-4184-9537-47339be652a9,0,2473,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
c9ec04da-8d91-4184-9537-47339be652a9,0,1741,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
