participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
d108f757-8dba-43ca-a554-ab337e24c42a,-1,5000,training,pie,26,olive,mushroom,olive,none,"more, fewer",0,MORE,"color, icon, geo",0,color,0
d108f757-8dba-43ca-a554-ab337e24c42a,-1,5000,training,pie,2,mushroom,tomato,mushroom,none,"more, fewer",0,MORE,"color, icon, geo",0,color,1
d108f757-8dba-43ca-a554-ab337e24c42a,1,3703,training,pie,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
d108f757-8dba-43ca-a554-ab337e24c42a,1,1737,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
d108f757-8dba-43ca-a554-ab337e24c42a,0,3991,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
d108f757-8dba-43ca-a554-ab337e24c42a,-1,5000,real,pie,4,carrot,mushroom,carrot,none,"more, fewer",0,MORE,"color, icon, geo",0,color,2
d108f757-8dba-43ca-a554-ab337e24c42a,1,2583,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,3
d108f757-8dba-43ca-a554-ab337e24c42a,1,3187,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,4
d108f757-8dba-43ca-a554-ab337e24c42a,1,1903,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,5
d108f757-8dba-43ca-a554-ab337e24c42a,0,3493,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,6
d108f757-8dba-43ca-a554-ab337e24c42a,0,2578,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,7
d108f757-8dba-43ca-a554-ab337e24c42a,1,4206,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
d108f757-8dba-43ca-a554-ab337e24c42a,1,2790,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,9
d108f757-8dba-43ca-a554-ab337e24c42a,1,4338,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
d108f757-8dba-43ca-a554-ab337e24c42a,1,3235,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
d108f757-8dba-43ca-a554-ab337e24c42a,1,1257,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
d108f757-8dba-43ca-a554-ab337e24c42a,1,2546,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
d108f757-8dba-43ca-a554-ab337e24c42a,1,2244,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
d108f757-8dba-43ca-a554-ab337e24c42a,1,2204,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
d108f757-8dba-43ca-a554-ab337e24c42a,0,1865,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
d108f757-8dba-43ca-a554-ab337e24c42a,1,1875,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
d108f757-8dba-43ca-a554-ab337e24c42a,1,2721,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
d108f757-8dba-43ca-a554-ab337e24c42a,1,2903,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
d108f757-8dba-43ca-a554-ab337e24c42a,1,2429,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
d108f757-8dba-43ca-a554-ab337e24c42a,1,1233,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
d108f757-8dba-43ca-a554-ab337e24c42a,0,1893,real,pie,2,mushroom,celery,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
d108f757-8dba-43ca-a554-ab337e24c42a,0,2540,training,pie,13,carrot,olive,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
d108f757-8dba-43ca-a554-ab337e24c42a,1,2738,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
d108f757-8dba-43ca-a554-ab337e24c42a,1,1640,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
d108f757-8dba-43ca-a554-ab337e24c42a,1,1645,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
d108f757-8dba-43ca-a554-ab337e24c42a,1,1002,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
d108f757-8dba-43ca-a554-ab337e24c42a,1,1858,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
