participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
d2535fe5-b922-417f-8323-21c25fb2b973,1,3152,training,bar,11,tomato,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
d2535fe5-b922-417f-8323-21c25fb2b973,1,2375,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
d2535fe5-b922-417f-8323-21c25fb2b973,1,2841,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
d2535fe5-b922-417f-8323-21c25fb2b973,0,1991,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
d2535fe5-b922-417f-8323-21c25fb2b973,1,2447,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
d2535fe5-b922-417f-8323-21c25fb2b973,1,1767,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
d2535fe5-b922-417f-8323-21c25fb2b973,1,1674,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
d2535fe5-b922-417f-8323-21c25fb2b973,1,2104,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
d2535fe5-b922-417f-8323-21c25fb2b973,0,1695,real,bar,3,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
d2535fe5-b922-417f-8323-21c25fb2b973,1,1793,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
d2535fe5-b922-417f-8323-21c25fb2b973,1,3255,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
d2535fe5-b922-417f-8323-21c25fb2b973,1,1855,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
d2535fe5-b922-417f-8323-21c25fb2b973,1,880,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
d2535fe5-b922-417f-8323-21c25fb2b973,1,1710,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
d2535fe5-b922-417f-8323-21c25fb2b973,1,4000,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
d2535fe5-b922-417f-8323-21c25fb2b973,1,1424,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
d2535fe5-b922-417f-8323-21c25fb2b973,1,2271,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
d2535fe5-b922-417f-8323-21c25fb2b973,1,1802,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
d2535fe5-b922-417f-8323-21c25fb2b973,1,1792,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
d2535fe5-b922-417f-8323-21c25fb2b973,1,2370,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
d2535fe5-b922-417f-8323-21c25fb2b973,0,1632,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
d2535fe5-b922-417f-8323-21c25fb2b973,1,1465,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
d2535fe5-b922-417f-8323-21c25fb2b973,1,2871,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
d2535fe5-b922-417f-8323-21c25fb2b973,1,2334,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
d2535fe5-b922-417f-8323-21c25fb2b973,1,3793,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
d2535fe5-b922-417f-8323-21c25fb2b973,1,1567,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
d2535fe5-b922-417f-8323-21c25fb2b973,0,2080,training,bar,26,mushroom,olive,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
d2535fe5-b922-417f-8323-21c25fb2b973,1,1873,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
d2535fe5-b922-417f-8323-21c25fb2b973,1,1413,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
d2535fe5-b922-417f-8323-21c25fb2b973,0,1393,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
