participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,4811,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2721,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,3130,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2742,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1519,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,4226,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2738,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1984,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1083,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2372,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2612,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2686,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1674,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2853,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,3723,training,pie,3,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,3671,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,2
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1755,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1796,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2645,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,2
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2340,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,3
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1708,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,4
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,1720,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,5
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2468,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,6
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,4296,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,7
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2712,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,8
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,3278,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,9
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2849,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2390,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
d56a1da9-e307-4d72-a0f8-65c00242aa96,1,2900,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
d56a1da9-e307-4d72-a0f8-65c00242aa96,-1,5000,real,pie,2,mushroom,celery,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
d56a1da9-e307-4d72-a0f8-65c00242aa96,0,1426,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
